iteration_test,failures,policy,miura,time
0 1 1 N D,0,3.333841034,9.476360997,10457.14326
1 6 24 N C,0,4.11156161,6.544091501,766.7175862
2 16 24 N O,1,0,0,0
3 23 2 N O,0,3.645930011,7.374233456,300.563531
4 22 7 N O,0,4.240374629,4.351535653,146.1139916
5 12 8 N C,0,5.496825163,2.357647893,198.2370906
6 3 1 N O,0,3.383080785,9.27466949,688.4394319
7 25 12 N D,1,0,0,0
8 21 18 N D,1,0,0,0
9 9 17 N D,1,0,0,0
10 7 13 N D,0,4.075049616,5.5534394,208.0293534
11 11 7 N D,0,3.783182194,2.768649546,106.6513574
12 6 10 N C,0,5.352151572,3.560046634,291.1364671
13 12 13 N C,0,5.070541942,1.295218929,113.2160195
14 24 16 N D,1,0,0,0
15 19 17 N D,1,0,0,0
16 21 6 N C,0,4.588430468,6.491256647,267.5730151
17 16 4 N O,0,2.948587551,1.455609542,36.68415855
18 10 4 N D,0,3.734056847,3.676773083,241.1042707
19 10 11 N O,1,0,0,0
20 16 5 N C,1,0,0,0
21 3 22 N D,1,0,0,0
22 22 2 N D,1,0,0,0
23 5 23 N O,1,0,0,0
24 2 1 N D,1,0,0,0
25 3 6 N C,0,4.148100131,6.480254968,494.8289979
26 2 18 N O,1,0,0,0
27 2 12 N D,1,0,0,0
28 12 14 N C,0,6.116364641,1.584350372,142.7273557
29 16 14 N D,0,1.610300277,9.113070712,344.0292741
30 6 21 N O,1,0,0,0
31 9 24 N C,0,4.172020526,6.10886392,597.2220404
32 5 18 N O,1,0,0,0
33 2 4 N D,1,0,0,0
34 11 20 N D,1,0,0,0
35 25 13 N D,1,0,0,0
36 18 16 N C,0,4.283086744,0.715249092,55.38798416
37 7 5 N O,1,0,0,0
38 5 16 N O,1,0,0,0
39 23 4 N D,1,0,0,0
40 7 19 N O,1,0,0,0
41 9 5 N O,1,0,0,0
42 17 9 N C,0,5.057875361,2.463395049,190.6400866
43 2 15 N O,1,0,0,0
44 5 23 N O,1,0,0,0
45 7 20 N O,1,0,0,0
46 12 1 N O,0,3.524371105,8.33182703,498.3471535
47 4 19 N C,0,4.491050768,5.348176974,425.9155386
48 19 23 N C,0,5.523418582,3.155709657,296.7969532
49 25 9 N D,1,0,0,0
50 3 19 N D,1,0,0,0
51 14 5 N D,0,3.918935335,5.267737119,181.9563775
52 7 15 N O,0,2.826937088,9.938784211,9253.165674
53 25 13 N D,1,0,0,0
54 13 12 N O,0,2.661220642,8.30262642,264.9684694
55 20 9 N O,0,3.82109836,2.653816963,47.65102658
56 24 3 N C,0,4.249927847,6.769618418,366.071887
57 6 24 N O,1,0,0,0
58 24 21 N D,1,0,0,0
59 21 19 N C,0,5.337882999,2.823318309,279.7832262
60 18 18 N D,1,0,0,0
61 4 1 N D,1,0,0,0
62 13 22 N D,1,0,0,0
63 15 22 N D,1,0,0,0
64 17 5 N C,1,0,0,0
65 16 20 N D,1,0,0,0
66 14 7 N D,0,3.490822207,5.797920902,123.1391563
67 5 5 N O,1,0,0,0
68 23 11 N C,0,5.541675697,2.403850788,175.2619514
69 14 18 N D,1,0,0,0
70 16 13 N C,0,2.611750528,0.36831744,14.09808664
71 19 8 N O,0,2.463673012,1.464883979,28.00174889
72 24 13 N C,0,5.499073361,2.324946018,194.6946218
73 1 22 N O,1,0,0,0
74 19 12 N D,0,2.570592773,8.876316055,346.595318
75 24 21 N C,0,5.431934724,2.464341066,209.4219489
76 8 15 N C,0,5.206292693,2.927495178,260.8907254
77 22 10 N D,1,0,0,0
78 5 21 N O,1,0,0,0
79 13 14 N C,0,5.091459319,1.257537089,104.1059146
80 17 20 N C,0,5.590909039,1.986931894,184.4534536
81 16 14 N C,0,1.851308109,0.274421794,4.765349402
82 4 23 N D,1,0,0,0
83 3 23 N C,0,4.038534891,6.890739661,487.131286
84 8 9 N C,0,4.843867278,4.772151297,205.1772788
85 12 25 N D,1,0,0,0
86 1 5 N O,0,3.345451532,9.390991969,680.180908
87 23 24 N O,1,0,0,0
88 8 13 N C,0,5.481043782,2.45740579,205.270525
89 16 6 N C,0,4.068844271,7.292293962,283.2740175
90 16 18 N D,1,0,0,0
91 9 22 N D,1,0,0,0
92 14 24 N O,1,0,0,0
93 14 10 N C,0,5.456010033,1.602344787,175.0661723
94 23 22 N O,1,0,0,0
95 16 15 C O,0,1.704017439,8.649027997,261.4624907
96 12 5 N D,0,3.801595263,4.378181088,126.3526573
97 20 18 N C,0,5.635222153,2.166257183,226.4656011
98 24 19 N C,0,5.811335551,1.903468295,195.2565924
99 7 11 N O,1,0,0,0
100 15 20 N D,1,0,0,0
101 20 9 N C,0,5.610862081,2.279220606,125.5024194
102 16 19 N C,0,5.731313626,1.494849613,153.2377906
103 7 20 N O,1,0,0,0
104 25 19 N D,1,0,0,0
105 8 22 N C,0,4.905874535,4.448815175,394.3778992
106 7 16 N O,1,0,0,0
107 5 25 N C,0,3.767704239,7.730547127,607.3288598
108 8 2 N O,0,3.493202056,8.593849287,530.7374618
109 12 9 N O,0,2.919551098,8.378213507,205.2194863
110 15 10 N C,0,5.884876394,1.938174487,181.3823127
111 10 5 N D,0,3.760372423,3.173078797,114.3717169
112 20 14 N C,0,5.538514798,0.800049335,42.77359815
113 24 19 N D,1,0,0,0
114 25 18 N O,1,0,0,0
115 17 8 N O,0,2.525073368,1.342726676,19.68758431
116 14 17 N C,0,6.015864856,1.64650943,129.9800553
117 4 10 N C,0,4.731932246,5.467663657,269.108371
118 15 16 N C,0,5.354632264,1.242066402,104.1594853
119 21 25 N D,1,0,0,0
120 18 6 O C,0,4.256546568,6.732407744,258.0328064
121 21 8 N D,1,0,0,0
122 3 18 N C,0,4.455869689,5.838266396,425.965545
123 21 11 N C,0,5.618861709,1.680959466,78.64792965
124 1 5 N C,0,3.950340335,7.256392316,504.7243265
125 18 1 N O,0,3.739001827,8.178824574,357.8763192
126 24 3 N C,0,4.444816923,6.395137573,456.862271
127 6 6 N C,0,3.651272832,8.068522667,334.955539
128 5 14 N D,0,3.815651846,6.356506301,233.2234308
129 16 24 N D,1,0,0,0
130 5 13 N D,0,3.997061804,4.403973285,160.0060806
131 14 24 N D,1,0,0,0
132 24 11 N D,1,0,0,0
133 22 10 N C,0,5.189298377,2.29400554,182.2847257
134 18 10 N D,0,3.096056413,8.010121373,215.6943299
135 23 4 N C,0,4.587146793,5.519562944,328.0350337
136 23 15 N C,0,5.895601399,1.3423862,121.9553116
137 9 3 N C,0,3.748514027,8.363212671,493.0930547
138 12 13 N O,1,0,0,0
139 15 25 N C,0,4.633244337,4.780289958,362.3169161
140 21 8 N C,0,5.138099316,3.978414715,169.5583589
141 9 18 N O,1,0,0,0
142 6 22 N D,1,0,0,0
143 23 4 N D,1,0,0,0
144 4 18 N O,1,0,0,0
145 22 12 N D,1,0,0,0
146 3 23 N D,1,0,0,0
147 2 25 N C,0,3.96400482,7.191864442,375.5422191
148 15 5 N C,0,5.007230149,4.273442314,175.2649435
149 24 16 N C,0,5.547851835,1.342284994,108.5348005
150 1 1 N C,0,3.695749976,8.016672059,399.618501
151 10 5 N D,0,3.557333408,3.112332752,75.20111518
152 12 2 N C,0,3.816342193,8.155771428,400.8925979
153 9 8 N C,0,4.782937098,5.140866734,154.1923443
154 23 11 N O,0,3.425931668,4.980822624,118.4751704
155 22 25 N C,0,5.461585637,2.834974042,226.2405907
156 20 10 N O,0,3.074234613,3.021462373,47.04415608
157 15 7 N O,0,3.306220366,7.150223093,164.2671244
158 22 24 N O,1,0,0,7200
159 20 5 N O,0,2.525073368,1.342726676,21.59812762
160 18 11 N C,0,4.972686243,0.923173421,64.16009745
161 11 10 N C,0,5.438178138,1.963594269,165.109718
162 21 11 N C,0,5.486172139,1.595289909,141.7770955
163 6 20 N O,1,0,0,7200
164 25 20 N D,1,0,0,7200
165 8 24 N D,1,0,0,7200
166 13 23 N O,1,0,0,7200
167 11 25 N D,1,0,0,7200
168 3 6 N D,1,0,0,7200
169 18 15 N C,0,2.613177813,0.363946059,11.89717102
170 1 11 N C,0,4.38674083,5.820460295,514.3515341
171 2 12 N D,1,0,0,7200
172 15 20 N O,1,0,0,7200
173 23 3 N O,0,3.727630138,7.01153756,248.3823605
174 2 18 N O,1,0,0,7200
175 5 2 N D,1,0,0,7200
176 3 14 N D,0,3.746858872,6.752599864,314.3189134
177 3 15 N C,0,4.623458653,4.940552683,400.223094
178 23 24 N D,1,0,0,7200
179 10 24 N O,1,0,0,7200
180 4 17 N O,1,0,0,7200
181 24 8 N C,0,4.875808929,3.871693623,278.0609187
182 6 6 N D,0,1.542197529,0.819471025,5.318773369
183 4 11 N D,0,3.816533009,2.507380807,125.4594718
184 5 19 N D,1,0,0,7200
185 9 22 N C,0,4.899202227,4.344113844,358.2781237
186 5 11 N D,0,3.947102841,3.272654488,151.7861376
187 25 23 N D,1,0,0,7200
188 20 18 N O,1,0,0,7200
189 11 17 N D,1,0,0,7200
190 15 4 N D,0,3.477560354,8.319793475,281.7886315
191 24 22 N O,1,0,0,7200
192 17 3 N O,0,3.632781896,8.064688494,420.0801345
193 22 8 N O,0,3.426633491,4.282442387,144.8379176
194 21 21 N O,1,0,0,7200
195 20 20 N O,1,0,0,7200
196 3 12 N C,0,4.749325868,4.996106989,462.0725834
197 14 10 N C,0,5.455025861,1.602345177,145.2690128
198 21 19 N O,1,0,0,7200
199 11 22 N C,0,5.238956023,3.406991488,377.9635575
200 4 17 N D,1,0,0,7200
201 20 3 N C,0,4.488827839,6.694080855,399.8643569
202 2 8 N C,0,4.322922002,6.146333045,537.7576902
203 3 1 N C,0,3.906355168,7.30097637,631.80243
204 18 13 N D,0,1.154152722,9.995871073,10595.45351
205 7 7 N D,0,1.539956896,0.823708107,5.335420081
206 22 9 N O,0,3.269007527,3.271206854,109.8908267
207 8 21 N O,1,0,0,7200
208 23 16 N O,0,3.355372134,8.153543519,352.4546981
209 16 5 N O,0,3.054064892,1.300703171,21.72869546
210 8 25 N O,1,0,0,7200
211 1 13 N O,0,3.127648186,9.801215307,1092.99801
212 16 19 N C,0,5.614548506,1.501744675,146.4974884
213 2 10 N C,0,4.486611912,5.616216393,463.7794809
214 5 21 N D,1,0,0,7200
215 18 20 N C,0,5.703105058,2.080395203,273.522917
216 9 11 N O,1,0,0,7200
217 19 6 N O,0,2.112772707,1.019287906,3.212277633
218 9 19 N C,0,4.885629272,4.074872164,248.6602643
219 21 3 N D,1,0,0,7200
220 19 7 N O,0,2.045556357,1.156616931,7.265643312
221 14 17 N O,1,0,0,7200
222 12 6 N C,0,5.281704808,3.09817926,142.3701487
223 23 23 N D,1,0,0,7200
224 3 1 N C,0,3.884382812,7.498425698,362.7973618
225 21 4 N C,0,4.10557372,7.353605927,178.6168516
226 12 5 N D,0,3.73775915,4.170172324,93.79256546
227 25 25 N O,1,0,0,7200
228 25 2 N D,1,0,0,7200
229 20 3 N C,0,4.413299287,6.429437038,233.7253727
230 14 20 N D,1,0,0,7200
231 7 9 N D,0,3.537323729,1.32345921,13.12216568
232 15 21 N O,1,0,0,7200
233 10 10 N D,0,3.399364331,2.929704842,49.92289354
234 16 3 N C,0,3.987168706,7.942072273,334.4372844
235 20 13 N D,1,0,0,7200
236 8 13 N D,0,3.728814391,6.645397194,149.6708668
237 19 4 N D,1,0,0,7200
238 8 25 N C,0,4.003873477,6.663031384,387.5964674
239 19 15 N O,0,2.661415528,8.491385867,105.0426626
240 17 7 N C,0,4.065378502,7.346411113,157.4654634
241 2 11 N O,0,3.128134176,9.789155568,468.9389744
242 20 2 N D,1,0,0,7200
243 25 12 N D,1,0,0,7200
244 11 5 N C,0,4.753911702,4.236887336,148.2180538
245 16 13 N C,0,3.316091471,0.369886364,6.261048176
246 4 5 N D,0,3.031534293,1.349084354,17.32098884
247 12 11 N D,0,3.298259025,6.441563083,94.09312123
248 13 21 N C,0,5.632048353,2.653681506,155.6304957
249 21 19 N D,1,0,0,7200
