iteration,iteration_test,failures,policy,miura,time
0,0 2 13 N E,0,2.280162147,8.082085905,543.2851078
1,1 13 9 N P,1,0,0,0
2,2 12 23 N D,0,0.975874891,9.113358011,489.7520315
3,3 19 16 N A,0,1.115241386,9.111322177,346.3842768
4,4 16 1 N B,1,0,0,0
5,5 19 21 N C,0,2.379984808,7.89959574,326.2780203
6,6 16 19 N O,1,0,0,0
7,7 17 15 N D,1,0,0,0
8,8 9 25 N E,0,1.69628664,9.312741249,797.5462422
9,9 14 5 N O,1,0,0,0
10,10 7 23 N D,1,0,0,0
11,11 19 13 N P,1,0,0,0
12,12 19 4 N E,1,0,0,0
13,13 19 18 N P,1,0,0,0
14,14 17 16 N O,1,0,0,0
15,15 23 6 N D,1,0,0,0
16,16 9 5 N P,1,0,0,0
17,17 5 12 N E,0,2.50161218,7.430617661,403.1379142
18,18 2 20 N C,1,0,0,0
19,19 20 18 N O,1,0,0,0
20,20 8 8 N E,0,1.72020637,9.223088345,450.7327967
21,21 6 2 N C,0,1.694540041,9.347448115,901.3011701
22,22 15 2 N E,1,0,0,0
23,23 9 20 N C,1,0,0,0
24,24 14 9 N B,1,0,0,0
25,25 20 10 N O,0,2.108558777,3.185348358,112.3516017
26,26 22 18 N E,1,0,0,0
27,27 1 22 N P,1,0,0,0
28,28 21 22 N O,1,0,0,0
29,29 11 17 N B,1,0,0,0
30,30 5 7 N A,0,2.077751233,6.989316966,197.5824902
31,31 8 13 N P,1,0,0,0
32,32 13 23 E O,1,0,0,0
33,33 22 13 N C,0,4.267859329,2.236674389,141.7351422
34,34 15 16 N E,0,3.658300947,2.966161625,159.4007688
35,35 25 25 N P,1,0,0,0
36,36 3 24 N D,1,0,0,0
37,37 22 21 N B,1,0,0,0
38,38 3 21 N A,0,2.095708044,6.425294855,310.0394569
39,39 17 24 N O,1,0,0,0
40,40 13 15 N C,0,3.60067502,3.633092065,161.0107244
41,41 10 5 N C,0,2.793623608,6.171819435,336.1201181
42,42 19 16 N P,0,0.981711296,9.474763162,349.7149204
43,43 18 18 N C,0,3.372350618,4.068413242,169.888481
44,44 21 3 N B,1,0,0,0
45,45 16 25 N A,0,1.53229433,9.405155419,643.0331489
46,46 12 15 N C,0,3.491329753,3.387302782,194.5801962
47,47 11 22 N B,1,0,0,0
48,48 22 21 N B,1,0,0,0
49,49 19 22 N D,1,0,0,0
50,50 21 23 N E,0,1.515841867,9.833607893,1180.51715
51,51 7 14 N O,0,1.181727543,9.976249862,1033.146947
52,52 1 5 N E,1,0,0,0
53,53 19 22 N D,1,0,0,0
54,54 23 16 N A,1,0,0,0
55,55 24 11 N D,1,0,0,0
56,56 13 21 N O,1,0,0,0
57,57 24 12 N A,1,0,0,0
58,58 13 22 N P,0,1.474226793,7.456991698,136.8524919
59,59 19 15 N E,0,2.827548062,7.225343916,223.9372199
60,60 16 14 N E,0,2.195095649,8.376795811,291.3655468
61,61 21 6 N A,1,0,0,0
62,62 5 20 P C,1,0,0,0
63,63 16 14 N E,0,2.032245986,8.529849657,307.5220851
64,64 15 4 N D,0,1.822751916,7.546665468,221.2266066
65,65 1 4 N E,1,0,0,0
66,66 12 20 N C,0,2.547831648,7.504488387,297.0169157
67,67 18 9 N P,1,0,0,0
68,68 22 12 N A,1,0,0,0
69,69 18 25 N B,1,0,0,0
70,70 13 1 N D,1,0,0,0
71,71 18 22 N C,0,3.143744775,4.163983792,329.5138268
72,72 8 2 N O,0,1.684368235,9.14476753,622.1914542
73,73 14 4 N O,1,0,0,0
74,74 11 16 N O,1,0,0,0
75,75 7 2 N C,0,1.696431464,9.255527346,665.6383353
76,76 12 13 N O,1,0,0,0
77,77 9 8 N E,0,2.09503537,8.333499397,308.4127784
78,78 16 23 N A,0,0.959890445,9.352720343,383.844203
79,79 1 21 N E,0,1.946525685,8.99854322,470.6185697
80,80 1 2 N E,1,0,0,0
81,81 5 12 N E,0,2.432933084,7.911088105,344.3507977
82,82 1 23 N O,1,0,0,0
83,83 16 16 N C,0,4.089541292,2.0183946,76.72532455
84,84 11 13 N B,1,0,0,0
85,85 14 12 N B,0,1.358625973,9.012442883,300.6682741
86,86 3 14 N A,0,2.085051718,3.957563797,117.7137549
87,87 17 1 N P,1,0,0,0
88,88 15 17 N D,0,1.18744916,9.279226475,314.3625829
89,89 18 9 N O,0,2.10866724,3.934051287,77.3267913
90,90 6 18 N P,0,1.711108651,1.84896546,26.00957154
91,91 15 12 N O,0,1.436826567,9.11162028,335.5228151
92,92 20 22 N P,1,0,0,0
93,93 16 12 N C,0,2.938179365,0.789419139,20.87248141
94,94 22 20 N A,1,0,0,0
95,95 10 2 N A,0,1.644571457,8.685628671,541.1294074
96,96 24 7 N P,1,0,0,0
97,97 5 10 N P,0,0.957837205,9.994284428,10067.81374
98,98 5 4 N P,1,0,0,0
99,99 6 20 N E,0,4.048482483,3.594464538,175.6663483
