iteration_test,failures,policy,miura,time
0 3 5 N L,0,1.947137851,8.224902278,214.9615072
1 6 3 N L,0,2.409480392,4.082871059,84.80299204
2 10 2 L P,0,1.493815052,8.560444615,259.0106313
3 4 2 N C,0,1.81109777,8.049063668,159.0106782
4 6 8 N D,0,2.307358228,3.775947565,154.4970145
5 4 9 N L,1,0,0,0
6 10 6 N D,0,2.031392331,7.301934743,168.3901198
7 3 4 N L,0,2.520595944,6.147935729,154.5281479
8 6 4 N O,0,2.972615575,2.285311269,52.3551746
9 2 7 N D,0,1.612480969,8.844549975,182.0038002
10 8 8 N T,0,2.542894626,1.651141724,16.09930557
11 7 4 N C,0,2.233893982,6.043102919,803.0724746
12 9 10 N T,0,2.302345812,5.52029189,127.1103429
13 9 8 N T,0,2.378695491,2.696037916,25.16033353
14 5 5 N O,0,2.887432936,2.819143041,61.71282171
15 2 3 N L,0,2.178548613,8.00797596,175.7368559
16 4 10 N C,0,2.905040631,7.11081147,97.17006907
17 4 6 N O,0,2.782919555,4.559500678,95.23850712
18 6 7 N T,0,2.804930306,2.879242232,25.19606692
19 4 6 N C,0,2.591731073,7.336476591,204.9117976
20 4 7 N T,0,2.531962735,4.780527945,56.22077368
21 1 6 N T,0,2.102599875,6.492415117,183.3962301
22 2 7 N T,0,2.038779519,7.668836694,143.855808
23 3 2 N C,0,1.893282505,7.181781047,219.956886
24 9 4 N T,0,2.243592334,6.404803947,25.24437349
25 9 3 N P,0,1.91547476,7.394255793,217.3347769
26 6 4 N C,0,2.165522872,7.516912579,127.6500358
27 6 4 N T,0,2.44218007,3.755110826,76.52356435
28 4 1 N D,1,0,0,0
29 6 5 N O,0,2.738444244,2.174015161,45.47430531
30 7 5 N D,0,2.110200494,5.423426942,79.29938728
31 5 2 N D,1,0,0,0
32 3 9 N D,0,2.131067147,8.470732316,119.8056329
33 3 1 N P,0,2.586695994,6.063814334,160.9770033
34 1 4 N T,0,2.001300632,6.732406332,220.9614475
35 6 5 N L,0,3.018513291,4.823167211,108.8736858
36 3 7 N O,0,2.435200808,5.687375391,131.9147704
37 9 5 N C,0,1.854552353,6.737629488,130.279122
38 6 3 N O,0,2.500914007,1.242972676,16.14550133
39 7 10 N P,0,2.631892411,6.306817618,149.2702524
40 7 2 N L,0,3.087430657,5.70693245,222.2691688
41 5 9 N T,0,2.351591635,3.827329494,73.02190036
42 4 3 N L,0,2.519627613,8.959966349,115.9403978
43 10 2 L T,0,1.937888208,7.829496067,94.57845626
44 4 4 N C,0,2.423009988,7.820426782,390.7528909
45 8 8 N T,0,2.190114207,1.554446677,16.22629378
46 9 1 N D,1,0,0,0
47 4 7 N C,0,3.04218871,5.364486353,311.5071989
48 4 7 N D,0,1.970785156,6.730305314,111.2442056
49 3 2 N D,1,0,0,0
50 3 6 N D,0,1.827413194,7.143456524,159.1905438
51 7 7 N P,0,2.416922622,5.52987944,121.12587
52 1 2 N C,1,0,0,0
53 4 8 N D,0,2.109908383,6.231950099,117.9317536
54 9 7 N T,0,1.501368909,0.817235869,3.660307926
55 2 1 N T,1,0,0,0
56 5 8 N L,0,1.853479093,6.993729956,180.4960186
57 3 9 N T,0,2.211896803,5.623350185,111.6576022
58 2 7 N D,0,1.789055064,7.403787174,142.1607476
59 1 8 N O,0,1.835419914,7.846295924,216.435667
60 4 1 N T,0,1.779742264,7.588499203,175.6715797
61 3 8 N L,0,1.712150224,7.598277892,236.4245395
62 5 10 N T,0,2.303522193,4.505264101,82.53146818
63 3 10 N O,0,1.330528715,9.344504985,226.2748316
64 4 6 N O,0,2.583117877,3.909239676,41.32010761
65 7 8 N D,0,2.014592777,7.31881248,152.2518245
66 7 3 N L,0,2.636995016,8.745421471,32.34690099
67 2 5 N T,0,2.1074424,5.803288474,69.55403558
68 5 4 N L,0,2.302420874,6.384732604,53.51779242
69 1 9 N O,1,0,0,0
70 8 4 N L,0,2.455469509,2.014680669,45.05550222
71 4 4 N C,0,1.950575617,6.746839457,202.0384124
72 2 1 N T,1,0,0,0
73 5 3 N D,1,0,0,0
74 9 4 N T,0,2.43280724,1.97469921,57.21057264
75 1 5 N T,0,2.221307352,6.664712467,188.9472752
76 9 10 N P,0,1.515437076,8.330243413,199.6378968
77 9 9 N P,0,2.002973999,7.588343945,176.9024786
78 7 1 O L,0,2.298638427,7.688415705,170.2551147
79 8 10 N T,0,2.132361273,4.782878555,139.899614
80 10 10 D C,0,2.673872369,9.938333578,215.3066161
81 5 10 N D,0,2.111206502,7.693107902,220.7984856
82 10 10 D C,0,2.713234349,9.934179073,88.6523649
83 2 9 N P,0,3.517796832,2.903816125,80.13747187
84 9 2 N T,0,2.337241593,3.919493504,237.4910604
85 8 6 N T,0,2.198708861,1.537923724,20.41833304
86 5 4 N D,0,1.818211803,8.645582316,191.9248432
87 5 6 N O,0,2.866434003,3.737837232,84.41170299
88 3 3 N C,0,1.834100905,7.415199786,977.3644936
89 7 6 N P,0,3.01663905,3.914767195,128.6358989
90 1 9 N C,0,2.58048213,8.067106238,191.14132
91 4 9 N C,0,2.757360905,5.063187142,80.01245166
92 6 10 C T,0,1.908675336,6.340229324,112.2063079
93 3 6 N O,0,2.967791127,4.692011054,154.1712
94 4 5 N P,0,3.183777691,1.952378772,58.832688
95 2 6 N D,0,1.71450517,7.097622689,224.4713562
96 1 3 N L,1,0,0,0
97 8 5 N L,0,2.50792023,2.58185526,49.8470789
98 2 1 N L,1,0,0,0
99 7 9 N O,0,2.155039719,5.739053222,178.9259678
100 4 6 N C,0,2.363328923,5.571062836,100.1330551
101 6 5 N L,0,2.511150425,4.2497952,80.26567747
102 8 7 N T,0,1.93690029,1.145978197,11.27654633
103 4 5 N L,0,2.216599365,5.362851351,189.6514502
104 2 3 N T,1,0,0,0
105 2 1 N T,1,0,0,0
106 3 4 N D,1,0,0,0
107 8 3 N O,0,2.2912057,7.890430544,409.923753
108 3 8 N T,0,2.628718934,4.874561817,38.59568641
109 6 10 C O,0,1.56775981,8.023446442,76.52965102
110 4 5 N C,0,2.241801224,5.922982391,56.49106576
111 1 2 N L,1,0,0,0
112 1 7 P T,0,1.744551758,7.799465143,62.41939925
113 2 1 N P,0,2.688091336,5.761151459,84.0997315
114 4 8 N O,0,2.366513239,5.39899886,63.70499236
115 1 9 N C,0,2.518370064,6.281106316,806.7643268
116 6 2 N O,0,2.146600947,0.928645394,4.486387976
117 2 9 N C,0,2.769892595,7.44510457,51.31836116
118 2 6 N L,0,1.935058981,9.107559181,112.3791673
119 8 3 N L,0,2.579636469,2.45553361,13.945937
120 8 6 N C,0,2.276335999,3.642529928,116.6717185
121 2 2 N C,1,0,0,0
122 1 9 N T,0,2.110223045,7.519292623,73.85279068
123 7 2 N P,0,2.368647924,6.496648238,68.29802992
124 1 1 N T,1,0,0,0
125 4 3 N P,0,2.55361364,6.488162481,68.74877169
126 7 3 N P,0,2.391388917,5.5564083,68.72102979
127 6 5 N L,0,2.366944684,4.095188364,44.17216704
128 7 7 N C,0,2.6129572,2.805591594,12.60221794
129 1 2 N T,1,0,0,0
130 7 10 N T,0,2.117794155,7.774995237,32.64168236
131 9 2 N L,0,2.323208565,1.505011187,1.952626717
132 5 1 N C,0,1.668277396,7.838422785,93.2631347
133 10 3 N C,0,1.764121222,7.15578026,153.145711
134 4 5 N P,0,2.954933223,1.839385959,36.20504838
135 3 7 N T,0,2.087688089,6.572907005,58.45740345
136 3 10 N D,0,1.833933766,9.365996391,75.07858343
137 2 6 N L,0,1.926367297,8.189432104,111.9809449
138 3 2 N O,0,3.254257639,1.809091416,23.95733643
139 9 1 N T,0,2.102489912,9.610965658,65.38484822
140 9 5 N C,0,2.333660256,7.346834837,48.2587378
141 8 5 N P,0,2.462944603,6.22955608,55.49406234
142 1 8 N D,0,1.887172485,7.976947287,120.0258478
143 10 9 N L,0,1.687517503,8.469786296,91.51530888
144 9 3 N C,0,1.750228679,6.759348885,171.7214869
145 6 5 N T,0,2.823426777,4.46887838,26.23227239
146 7 2 N P,0,2.415748905,6.626304849,85.03968416
147 6 1 N T,0,1.552703378,8.329506073,69.19935475
148 4 7 N T,0,2.463195956,3.43724294,34.53334816
149 10 10 D L,0,1.873043954,9.212444115,71.46448817
150 4 7 N D,0,1.897516596,7.708258165,57.63472202
151 9 5 N T,0,2.588146121,1.665827641,8.023607952
152 9 5 N D,0,2.09912626,6.096609534,59.57217508
153 2 10 N L,1,0,0,0
154 9 7 N L,0,2.35649321,4.634727034,53.24157152
155 6 2 N O,0,2.146600947,0.928645394,4.47348543
156 6 6 N L,0,2.093595709,6.142206515,38.78332117
157 8 10 N T,0,2.132361273,4.782878555,31.11562088
158 2 3 N P,0,2.79518621,4.417642555,58.1070282
159 6 4 N L,0,2.777270764,3.226616249,33.71119655
160 7 10 N O,0,2.017768244,6.646873749,76.68622033
161 6 8 N P,0,2.862231106,2.677437011,23.92022111
162 10 2 L P,0,1.687686626,8.706048897,91.04862443
163 4 2 N P,0,2.76218497,5.994985234,72.39348571
164 3 7 N T,0,2.031633183,6.381033336,46.55882105
165 9 1 N L,0,2.126519858,0.942843997,4.488538726
166 6 8 N D,0,2.151944225,6.218283481,30.88532547
167 4 3 N T,0,2.122429933,6.269580827,106.3746982
168 6 7 N O,0,2.608905005,3.401603864,35.58885726
169 2 4 N T,0,2.021722173,6.924121381,81.7218653
170 2 10 N O,1,0,0,0
171 8 2 N L,0,2.668095173,9.09516819,14.02749965
172 8 1 N C,0,1.375031176,8.54046459,278.7463644
173 4 8 N P,0,3.055285361,1.706800384,17.5008382
174 10 5 N P,0,1.938507763,7.761467743,103.770489
175 5 9 N L,1,0,0,0
176 2 8 N D,0,1.820882367,7.406524352,113.3745584
177 10 8 N P,0,2.064997149,6.52814844,79.53108657
178 5 7 N O,0,2.65352026,4.557254582,44.94993343
179 9 2 N D,0,1.524339979,7.707919382,131.0836079
180 4 3 N D,1,0,0,0
181 1 6 N O,0,1.828614582,7.907573391,91.58638552
182 4 1 N T,0,1.695346953,8.131491252,80.52906382
183 9 10 N C,0,2.777210173,9.649374724,59.71631165
184 1 10 N D,1,0,0,0
185 10 6 N C,0,1.874880275,6.317010218,42.77942127
186 9 10 N L,0,1.291747554,9.010387277,132.5124761
187 9 10 N D,0,2.334526682,6.206807625,271.2307229
188 2 7 N P,0,1.664939798,0.60983846,1.906043392
189 9 8 N O,0,1.973460771,7.021882081,62.39556993
190 2 2 N L,1,0,0,0
191 1 6 N D,0,1.478143154,9.107289602,117.2265638
192 5 10 N C,0,3.221914426,6.084012289,34.56366895
193 6 8 N O,0,2.276250418,5.881873215,50.19264183
194 2 5 N T,0,2.330564378,7.383790873,57.19810006
195 3 3 N D,1,0,0,0
196 2 6 N L,0,2.193868939,8.190072758,87.50159218
197 10 5 N C,0,2.41861102,9.651229973,79.53020146
198 4 5 N T,0,2.424271492,4.220094598,84.81620157
199 6 3 N L,0,2.274930479,6.233675582,25.51724709
200 10 8 N L,0,1.658508713,8.303012968,68.4819108
201 4 8 N O,0,2.546677922,6.047371389,66.91853289
202 7 5 N L,0,2.477306429,3.760578569,24.14639164
203 10 6 N D,0,1.763070322,9.277437534,261.573736
204 5 8 N O,0,2.116292271,6.156486686,59.85083195
205 4 1 N D,1,0,0,0
206 10 5 N D,0,1.922227612,7.093401632,98.81441139
207 4 3 N D,1,0,0,0
208 2 5 N D,1,0,0,0
209 2 5 N T,0,2.077429958,6.898245703,62.34413299
210 8 1 N P,0,1.788903349,7.966710017,102.9377077
211 1 7 P L,0,1.738555729,8.18854432,141.9797771
212 9 4 N L,0,2.762476335,4.49409636,7.940846829
213 3 4 N D,1,0,0,0
214 1 7 P L,0,1.491013466,7.977206287,103.0302576
215 3 9 N D,0,1.986747471,8.193103103,95.14516439
216 2 7 N C,0,2.49522782,8.262842608,55.23140963
