iteration_test,failures,policy,miura,time
0 4 2 N C,0,2.7370735138400493,9.911118850860102,80.37874468485825
1 5 4 N B,0,2.5990325396481744,2.0350814816196654,13.623619352001697
2 5 4 N B,0,2.5990325396481744,2.0350814816196654,13.640391976106912
3 2 5 N C,0,2.47375709196677,7.621777769515588,20.329296052921563
4 5 5 N A,0,2.620084051506325,7.553192156765747,1618.5963031928986
5 3 1 N B,0,3.416875520588818,4.021830526219912,51.40521716605872
6 3 1 N B,0,3.5670472076129465,4.1388719950609785,62.83952047792263
7 4 1 N A,0,4.401284028106778,4.782497844694556,46.774281569058076
8 3 6 N A,0,2.6973697965746988,9.569241504784058,565.4145127220545
9 1 1 N A,0,3.346201221150852,2.078894379725468,31.22267717611976
10 3 7 N B,0,2.4886627982846434,9.787005434617155,24.47982566501014
11 1 8 N A,0,2.467463789603905,4.34830630861401,473.2656530300155
12 1 2 N A,0,4.340525123932584,5.211897737340584,19.55237114802003
13 1 6 N A,0,2.4179392492719365,1.4987293547915859,267.6074603938032
14 5 6 N B,0,1.8436378602971395,1.4799358611477207,4.897082005860284
15 5 7 N C,0,2.0086889607393017,5.645138532747702,156.6609881450422
16 1 8 N C,0,1.7163252272626774,1.5906629467781364,4.8713424920570105
17 5 4 N A,0,3.8904967128977135,6.869759215410703,62.08161881798878
18 2 4 N B,0,2.1488627550440547,9.810883348484348,42.60832629818469
19 5 6 N A,0,1.4970014456484932,9.994387439516343,162.34355828305706
20 2 8 N C,0,1.2633165535573896,1.2050062188448925,3.818319372134283
21 5 3 N A,0,3.545229742100953,3.4449780125939897,468.9438329769764
22 1 3 N A,0,4.156140994177451,5.17931877607201,143.76916907913983
23 1 3 N C,0,3.0410857040358086,8.488783396467902,44.83450243505649
24 1 8 N C,0,1.7163252272626774,1.5906629467781364,6.664713792037219
25 5 2 N C,0,2.8183422104768847,9.544439163922888,172.7412009940017
26 5 1 N C,1,0,0,7200
27 3 6 N A,0,3.2631951644168358,8.899223766727506,485.57737630279735
28 5 7 N A,0,1.632357142207716,9.109758908762254,158.63671756791882
29 1 6 N C,0,3.070211640173196,5.963720916420544,29.073831148911268
30 2 8 N C,0,1.2633165535573896,1.2050062188448925,2.006536495871842
31 5 8 B A,0,2.032758132496146,9.994176243586038,702.2485394750256
32 2 7 N B,0,2.6753957486642594,9.895460450875643,109.49895198480226
33 1 5 N C,0,2.696926801997329,3.1988741794823112,28.536911502014846
34 2 4 N A,0,1.990452001520314,1.2342653888997313,243.43390943901613
35 1 3 N A,0,4.677045818195177,2.2745591562597056,319.42252563894726
36 5 6 N A,0,1.8868584764772829,9.57047394872892,449.6020638628397
37 1 8 N A,0,2.6744781886332536,9.73269590409442,418.0773442629725
38 2 2 N C,0,2.122418473490208,6.825987937788629,83.8650209507905
39 2 2 N B,0,3.3793674967907417,5.244355417532236,80.85709124314599
40 4 3 N B,0,3.064645371231129,2.590606110284718,31.57622687611729
41 1 3 N C,0,2.4417318448732326,6.231179611566789,64.45684693707153
42 1 3 N C,0,2.178687096984366,6.4612704098750875,36.17813525884412
43 1 3 N B,0,2.827728726624339,6.1262323495329385,68.73017312702723
44 5 1 N C,1,0,0,7200
45 5 1 N B,0,3.4161079486132273,3.0099779003918794,41.2076060839463
46 5 4 N A,0,3.2333693241956096,4.355952545107048,581.0348658489529
47 5 6 N B,0,2.686270159058833,1.8456817006714865,4.8815985538531095
48 4 8 N B,0,3.011867652273317,9.876723199247445,11.367454971186817
49 5 1 N A,0,3.901145732716172,3.0433612956755884,52.54814059310593
50 3 8 C B,0,1.754608032193352,3.90373971372337,11.61420962610282
51 1 1 N A,0,4.519233586293877,4.383654327632783,33.43735608784482
