iteration_test,failures,policy,miura,time
0 25 22 N B,0,1.284242777,-9.093551272,137.5738395
1 7 4 N A,0,1.763701845,-7.430410138,58.65410883
2 17 10 N L,0,1.635996337,-7.754584269,112.9603637
3 15 4 N L,0,1.316311315,-9.354704595,111.0039418
4 9 15 N E,0,3.592281469,-4.081842831,54.53681697
5 1 4 N P,0,1.19534567,-9.836506825,140.6061117
6 5 12 N E,0,2.210527532,-8.13538533,52.88789921
7 20 3 N D,0,1.041861479,-9.613843276,89.3893085
8 6 10 N P,0,1.110495182,-9.472741329,141.8970339
9 7 22 N L,0,0.735564619,-9.997170357,111.2343647
10 8 16 N E,0,3.595633202,-4.059571686,52.8598538
11 9 20 N E,0,3.873071915,-1.784287351,53.74869499
12 21 13 N P,0,0.862456436,-9.474628041,141.4172646
13 9 9 N O,0,1.369755312,-8.769276372,115.1520182
14 1 20 N E,0,1.938839359,-8.644116003,54.14895836
15 10 7 N O,0,1.485592991,-9.092056988,115.5681463
16 4 10 N D,0,2.111050367,-3.637076538,87.31681071
17 5 24 N O,0,1.205275049,-9.900414742,116.4496007
18 14 24 N L,0,1.246523659,-9.790850239,111.1493746
19 20 9 N O,0,2.202336532,-3.095909484,117.4455688
20 23 25 N B,0,1.321121903,-9.259276467,136.2351505
21 25 1 N L,0,1.79290899,-1.602551767,109.4060722
22 23 11 N P,0,0.935570771,-9.571098307,140.5760178
23 9 11 A E,0,2.461827305,-7.415105117,53.30482832
24 17 7 N A,0,1.240474637,-8.778542906,57.45251419
25 18 20 N B,0,1.493989399,-2.203780254,137.278746
26 19 5 N B,0,0.926073446,-9.653245087,135.2253213
27 20 19 B O,0,0.82902378,-9.617409466,115.6048486
28 15 20 N E,0,4.291226826,-1.235966575,51.87477055
29 11 22 N L,0,0.708506751,-9.851473921,111.8530459
30 20 24 N E,0,1.74636247,-9.26561652,52.56246058
31 24 4 N P,0,0.878106508,-9.989867997,143.1987946
32 17 6 N A,0,1.193028719,-8.90151634,58.24051576
33 21 3 N D,0,1.080791064,-9.567939571,87.13867772
34 1 24 N B,0,1.193261705,-9.803394687,130.462436
35 4 20 N B,0,1.003307284,-9.280114485,135.5578968
36 7 16 N P,0,1.374129108,-8.136043598,144.6523895
37 15 25 N A,0,1.362595271,-9.413466934,58.04511154
38 12 16 N D,0,1.294122063,-8.492605284,84.80490563
39 8 24 N C,0,1.74646184,-7.715601035,84.64295137
40 25 11 N A,0,1.273444876,-8.894960578,59.22405593
41 12 22 N P,0,1.470912477,-7.173247695,141.0526031
42 18 22 N L,0,1.366350534,-9.52903555,111.1638897
43 7 11 N B,0,1.071681578,-9.41503117,133.5310236
44 1 21 N L,0,1.172098634,-9.947813557,113.6010565
45 6 25 N E,0,1.683889493,-9.096548622,52.34801807
46 20 1 N O,0,1.546723809,-8.883751418,116.6901443
47 15 20 N A,0,1.213328161,-8.496368287,59.20587828
48 7 23 N A,0,1.188883781,-8.644043982,58.6135991
49 10 3 N P,0,1.170064608,-9.923442504,141.6225508
50 8 22 N E,0,3.724577607,-1.984273656,53.65036516
51 10 4 N D,0,1.930346762,-6.026216204,87.79447023
