iteration_test,failures,policy,miura,time
0 3 5 N L,0,1.91787268,-6.819505504,4.785392133
1 6 3 N L,0,2.936975727,-3.629950713,5.097725899
2 10 2 L P,0,1.73953328,-8.159303333,2.527571212
3 4 2 N C,0,1.97294314,-7.448073216,4.624063591
4 6 8 N D,0,2.391146602,-4.234295816,5.7981476
5 4 9 N L,0,1.73619751,-8.241121156,5.394783478
6 10 6 N D,0,1.822858956,-6.818321844,6.081107773
7 3 4 N L,0,2.244606819,-5.894520698,5.88138876
8 6 4 N O,0,2.831627283,-2.0395914,5.166905549
9 2 7 N D,0,2.043051295,-7.206064946,5.88351879
10 8 8 N T,0,2.73550911,-1.917248466,4.44533701
11 7 4 N C,0,2.239211973,-4.923473103,5.23547468
12 9 10 N T,0,1.975149095,-6.439273503,5.049246772
13 9 8 N T,0,2.378695491,-2.696037916,4.997299987
14 5 5 N O,0,3.013729801,-3.261332583,5.009923146
15 2 3 N L,0,2.110129426,-6.782297688,5.169760407
16 4 10 N C,0,2.360095789,-4.212878313,4.498571613
17 4 6 N O,0,2.648982686,-4.605945902,4.601761799
18 6 7 N T,0,2.642736257,-2.096566425,4.699663592
19 4 6 N C,0,2.262310294,-5.049822296,4.889214926
20 4 7 N T,0,2.50497622,-3.375229314,5.139786904
21 1 6 N T,0,2.388825757,-6.465021348,4.849150289
22 2 7 N T,0,2.106755461,-7.171319592,4.966654209
23 3 2 N C,0,1.812038019,-7.857855963,5.338641385
24 9 4 N T,0,2.791304768,-2.026304392,3.829472154
25 9 3 N P,0,2.092343824,-6.951936053,2.657808075
26 6 4 N C,0,2.176837331,-5.314174985,4.915525745
27 6 4 N T,0,2.359252446,-4.925801394,4.106304073
28 4 1 N D,0,1.34842547,-8.723065794,5.149217444
29 6 5 N O,0,2.795567799,-2.560977396,4.922146607
30 7 5 N D,0,2.061766044,-5.917845091,4.989168278
31 5 2 N D,0,1.682447863,-8.22950329,5.470121307
32 3 9 N D,0,2.014895818,-6.251381363,4.402612142
33 3 1 N P,0,3.105940901,-5.523101045,2.618838068
34 1 4 N T,0,2.219233091,-7.061917848,4.065189172
35 6 5 N L,0,2.358325407,-5.19181965,4.422837492
36 3 7 N O,0,2.098477586,-7.085295034,4.64442305
37 9 5 N C,0,1.978933638,-5.700350051,4.576271623
38 6 3 N O,0,2.819795761,-1.435041546,3.471854136
39 7 10 N P,0,2.235342954,-6.538764712,2.555230806
40 7 2 N L,0,2.929923338,-3.690737545,5.485232879
41 5 9 N T,0,2.304410255,-4.516362173,3.889327941
42 4 3 N L,0,2.348473999,-5.492668211,4.689146799
43 10 2 L T,0,2.186342929,-5.065738016,4.479483448
44 4 4 N C,0,2.405792124,-6.374529298,4.422469719
45 8 8 N T,0,2.73550911,-1.917248466,4.222341599
46 9 1 N D,0,1.820755503,-8.099155307,4.411079616
47 4 7 N C,0,2.364786248,-4.227611407,4.9045229
48 4 7 N D,0,2.012734358,-6.285895556,5.460553715
49 3 2 N D,0,1.441218743,-8.70436973,5.474419473
50 3 6 N D,0,2.083749215,-7.23608015,5.161850593
51 7 7 N P,0,2.673494004,-5.103543488,2.14218198
52 1 2 N C,0,1.712462625,-8.535483525,4.044728345
53 4 8 N D,0,2.109864059,-5.793739131,5.940491473
54 9 7 N T,0,1.501368909,-0.817235869,4.015955028
55 2 1 N T,0,1.939351442,-7.958776979,4.28535305
56 5 8 N L,0,1.890607297,-6.92130039,4.962671649
57 3 9 N T,0,2.230509471,-5.15907044,4.57209372
58 2 7 N D,0,2.043051295,-7.206064946,5.398866635
59 1 8 N O,0,1.767107547,-8.254600899,3.861772534
60 4 1 N T,0,2.101703919,-7.809934217,4.572588757
61 3 8 N L,0,1.973394526,-7.424878247,5.444900852
62 5 10 N T,0,2.260259695,-5.117245558,4.138444578
63 3 10 N O,0,1.738623332,-8.402487348,4.141211082
64 4 6 N O,0,2.648982686,-4.605945902,4.267738368
65 7 8 N D,0,2.593755262,-3.113755764,5.389046857
66 7 3 N L,0,2.388336804,-2.263847836,5.279177486
67 2 5 N T,0,2.442759319,-6.345692836,3.694086149
68 5 4 N L,0,2.474978921,-4.286838226,5.183714381
69 1 9 N O,0,1.745531805,-8.395837377,4.67364585
70 8 4 N L,0,2.455469509,-2.014680669,5.422949566
71 4 4 N C,0,2.405792124,-6.374529298,5.235110375
72 2 1 N T,0,1.939351442,-7.958776979,3.755820845
73 5 3 N D,0,1.935640538,-7.820553689,5.270517987
74 9 4 N T,0,2.791304768,-2.026304392,4.436723927
75 1 5 N T,0,2.17470288,-7.026503856,4.370280773
76 9 10 N P,0,1.816251506,-7.500017363,2.345901734
77 9 9 N P,0,2.021867632,-7.050572747,2.666523541
78 7 1 O L,0,2.561724524,-5.332281716,4.588554563
79 8 10 N T,0,2.043516578,-5.497064973,4.333917418
80 10 10 D C,0,1.966842557,-4.387590957,4.262753869
81 5 10 N D,0,2.035582638,-6.253771258,4.766893846
82 10 10 D C,0,1.966842557,-4.387590957,4.296633416
83 2 9 N P,0,3.312685189,-2.781136953,2.326553521
84 9 2 N T,0,2.426955106,-4.434279085,4.356051446
85 8 6 N T,0,2.679160592,-1.554027922,4.596091719
86 5 4 N D,0,2.080183721,-7.306455689,4.413018921
87 5 6 N O,0,2.829756837,-3.76630232,3.97688317
88 3 3 N C,0,2.106427751,-7.433473931,4.045781544
89 7 6 N P,0,2.926016428,-4.00589802,2.517380855
90 1 9 N C,0,2.420818362,-6.377611801,4.357835729
91 4 9 N C,0,2.407317219,-4.07890107,4.666292762
92 6 10 C T,0,1.929287298,-6.744551245,4.056495147
93 3 6 N O,0,2.597730853,-4.782665557,4.448121679
94 4 5 N P,0,2.995216266,-1.821519846,2.536236556
95 2 6 N D,0,1.993871939,-7.733455883,4.467752953
96 1 3 N L,0,2.244289482,-7.286844848,5.357315042
97 8 5 N L,0,2.899172631,-3.450396161,5.062977307
98 2 1 N L,0,2.100650195,-7.764681124,4.584667608
99 7 9 N O,0,2.190559071,-6.692514482,4.728831262
100 4 6 N C,0,2.262310294,-5.049822296,4.305549737
101 6 5 N L,0,2.358325407,-5.19181965,5.485467438
102 8 7 N T,0,1.93690029,-1.145978197,4.400156302
103 4 5 N L,0,2.160677661,-6.387035495,4.671556948
104 2 3 N T,0,2.219233091,-7.061917848,4.492951252
105 2 1 N T,0,1.939351442,-7.958776979,3.993462712
106 3 4 N D,0,1.766539481,-8.161393377,4.965034473
107 8 3 N O,0,2.639352865,-1.867006388,4.877425459
108 3 8 N T,0,2.307590548,-4.875476831,3.741562736
109 6 10 C O,0,1.602668579,-8.217306447,4.366110703
110 4 5 N C,0,2.134700596,-5.809555338,4.609374758
111 1 2 N L,0,2.100650195,-7.764681124,5.121554875
112 1 7 P T,0,1.915097708,-7.952242088,4.805471151
113 2 1 N P,0,2.910525876,-5.306860925,2.662896181
114 4 8 N O,0,2.66558274,-6.031724203,4.341531557
115 1 9 N C,0,2.420818362,-6.377611801,4.627312773
116 6 2 N O,0,3.16750847,-1.0129175,4.195657195
117 2 9 N C,0,2.291376611,-5.390557488,4.95555238
118 2 6 N L,0,1.913407013,-6.820676541,5.285464575
119 8 3 N L,0,2.782302165,-1.604050121,5.019841036
120 8 6 N C,0,2.260672988,-4.987310136,4.119263288
121 2 2 N C,0,1.803779534,-8.247116529,4.295765706
122 1 9 N T,0,2.330232162,-7.205843747,4.305753496
123 7 2 N P,0,1.916862798,-7.674114906,2.772516974
124 1 1 N T,0,1.853582522,-8.315646794,3.855806985
125 4 3 N P,0,2.602454493,-6.51065856,2.198929135
126 7 3 N P,0,2.14952143,-7.086909452,2.643833506
127 6 5 N L,0,2.358325407,-5.19181965,5.120932574
128 7 7 N C,0,2.290877498,-2.179448058,3.986511791
129 1 2 N T,0,1.939351442,-7.958776979,4.549895123
130 7 10 N T,0,2.143572781,-4.823656125,4.625883158
131 9 2 N L,0,1.555105383,-0.76675857,5.115452717
132 5 1 N C,0,1.941432412,-7.503126205,4.906981886
133 10 3 N C,0,2.146074495,-6.846582131,3.729644548
134 4 5 N P,0,2.995216266,-1.821519846,2.675286953
135 3 7 N T,0,2.424588745,-6.385400573,4.540959555
136 3 10 N D,0,2.359333235,-6.726594362,4.358856826
137 2 6 N L,0,1.913407013,-6.820676541,5.203046597
138 3 2 N O,0,3.424112307,-1.604118612,4.423665092
139 9 1 N T,0,2.20681548,-5.525857958,3.816913708
140 9 5 N C,0,1.978933638,-5.700350051,4.139500774
141 8 5 N P,0,2.445619734,-5.325989783,2.859012046
142 1 8 N D,0,2.043264941,-7.206050448,4.277806005
143 10 9 N L,0,1.789720037,-8.037947725,5.261559383
144 9 3 N C,0,1.895925695,-6.299114122,4.081626822
145 6 5 N T,0,2.506611621,-3.169554335,4.833350047
146 7 2 N P,0,1.916862798,-7.674114906,2.540869568
147 6 1 N T,0,2.322419245,-6.761551844,4.176443888
148 4 7 N T,0,2.50497622,-3.375229314,3.896366318
149 10 10 D L,0,1.498475175,-8.322592339,4.843244795
150 4 7 N D,0,2.012734358,-6.285895556,4.577485652
151 9 5 N T,0,2.795496494,-1.419539462,4.398170642
152 9 5 N D,0,2.031257677,-5.700348593,4.709076773
153 2 10 N L,0,1.448940716,-8.986408488,4.741149871
154 9 7 N L,0,2.528823755,-4.942428434,5.589253837
155 6 2 N O,0,3.16750847,-1.0129175,4.491584502
156 6 6 N L,0,2.242756744,-5.382138536,4.582505213
157 8 10 N T,0,2.043516578,-5.497064973,4.138651043
158 2 3 N P,0,2.820751551,-4.399572279,2.899212709
159 6 4 N L,0,2.839665757,-3.559903344,4.741851321
