iteration_test,failures,policy,miura,time
0 8 3 N O,0,1.407703197,-9.990191685,313.6480098
1 20 60 N D,0,1.763099242,-9.72496285,199.0070285
2 3 37 N D,0,2.951170901,-4.291083341,197.530813
3 58 40 N T,0,3.179275911,-2.577749617,145.9257705
4 10 4 N L,0,1.311363732,-9.989501917,231.116228
5 14 51 N T,0,1.509282212,-9.976738417,125.0160221
6 45 9 N T,0,1.767258069,-9.593278851,123.9804543
7 27 58 N C,0,2.075919528,-7.847405359,197.8548146
8 14 2 N T,0,1.474891658,-9.983374354,125.3360233
9 6 27 N D,0,3.275728981,-3.260598422,164.8833428
10 10 49 N P,0,1.365333999,-9.992104793,141.8955513
11 18 59 N L,0,1.631780582,-9.918782237,229.8527605
12 3 54 N T,0,1.497464792,-9.982246189,122.7847242
13 60 7 N T,0,1.571529245,-9.944101856,126.5745212
14 44 45 N L,0,1.63234674,-9.884344595,230.27651
15 42 55 N L,0,1.601037093,-9.95082233,225.2511048
16 34 18 N D,0,1.846900902,-8.98288869,166.8524247
17 45 22 N L,0,2.19129676,-7.402434314,230.0535571
18 16 51 N C,0,3.032033741,-3.210754922,197.3590077
19 5 35 N L,0,1.522593532,-9.977497569,227.6645185
20 42 59 N T,0,1.673401484,-9.825393302,125.3889999
21 42 21 N P,0,1.695051807,-9.686126573,145.3502771
22 14 23 N P,0,1.654516656,-9.822363769,146.0509887
23 13 40 N O,0,1.516266085,-9.966324035,258.815187
24 5 31 N C,0,1.727892273,-9.782706884,195.4473358
25 16 30 N P,0,1.49723701,-9.946682311,146.3290265
26 40 10 N L,0,2.664626266,-5.353093162,227.226047
27 45 57 N P,0,1.592163323,-9.9570215,143.0705613
28 28 55 N P,0,1.649238826,-9.890099649,145.5441482
29 9 52 N D,0,1.930616711,-9.290591955,167.4977454
30 15 24 N C,0,1.520712234,-9.903831861,197.4238679
31 53 47 N T,0,1.680457903,-9.738728409,124.252124
32 60 1 N D,0,1.501658933,-9.981369082,166.5778208
33 14 50 N D,0,2.319877246,-8.212686362,163.8161179
34 37 33 N T,0,2.129704929,-7.540987915,127.568561
35 35 2 N L,0,2.333573108,-6.6575726,231.6227472
36 56 23 N D,0,1.587467472,-9.922275557,168.8535261
37 32 20 N O,0,1.642510521,-9.879998062,260.3255139
38 24 23 N O,0,1.626869683,-9.907918929,259.7477481
39 12 59 N C,0,2.807647212,-4.286506082,195.4391841
40 25 5 N C,0,1.640990128,-9.898160687,198.5878198
41 60 42 N L,0,1.527078083,-9.970706947,228.8920774
42 20 23 N P,0,1.812318107,-9.238641851,144.6738386
43 52 60 N C,0,1.340986509,-9.985923086,195.4151348
44 30 41 N O,0,1.751434189,-9.448098878,261.5485388
45 11 27 N O,0,1.450443869,-9.988363554,259.4877331
46 30 60 N T,0,1.672418871,-9.817462256,121.7928573
47 18 39 N P,0,1.575737092,-9.952537187,147.1556646
48 42 53 N L,0,1.602736092,-9.932314783,229.3590123
49 10 51 N C,0,2.700657692,-1.677587442,197.8638882
50 36 30 N L,0,1.734041307,-9.505495691,227.348618
51 22 16 N O,0,1.622124941,-9.914884669,261.8836542
52 19 3 N T,0,1.524276476,-9.97047157,124.5778625
53 49 18 N P,0,1.628972698,-9.88442151,142.9234059
54 35 12 N C,0,1.632090695,-9.904127403,198.0425457
55 55 35 N P,0,1.44958177,-9.985795603,144.4492222
56 19 28 N D,0,3.349088289,-3.401001724,167.4340929
57 15 10 N T,0,1.540250788,-9.972628945,123.531356
