iteration_test,failures,policy,miura,time
0 8 4 N B,1,0,0,0
1 19 5 N D,1,0,0,0
2 13 10 N B,1,0,0,0
3 20 9 N O,0,2.652656404136087,2.718432330046593,50.24667481001234
4 8 2 N O,0,2.303916104150328,9.088424726453658,581.5861549369874
5 3 2 N P,1,0,0,0
6 4 15 N B,0,1.9565113357514332,9.897621288775499,10817.890660887002
7 12 4 N B,1,0,0,0
8 2 13 N C,0,3.300033960290595,5.556096770043627,364.764940744004
9 4 22 N B,1,0,0,0
10 15 20 N O,1,0,0,0
11 4 4 N B,1,0,0,0
12 8 19 N C,0,2.9159926096920548,7.804911483757301,445.8775831350067
13 8 12 N C,0,4.728456836293168,2.4399695882202295,214.26049318298465
14 19 10 N O,0,2.658861723291764,5.005989298148932,86.9936633510224
15 3 18 N C,0,3.2040177780566075,5.999142759170573,496.1497154860117
16 23 20 N P,1,0,0,0
17 25 8 N B,1,0,0,0
18 15 7 N D,0,2.7096962152954083,5.881142230011945,190.96085207199212
19 24 20 N O,1,0,0,0
20 13 16 N P,0,2.6285322967038267,5.604332737530421,194.94820972898742
20 13 16 N P,0,3.0156500770528325,5.673971490507966,223.30501326900048
21 23 22 N O,1,0,0,0
22 15 3 N O,0,2.4810570106301384,8.394838225086412,418.8672111640044
23 21 8 N B,1,0,0,0
24 17 9 N D,0,2.4835765626414097,7.705090653543833,222.168990209997
25 7 3 N O,0,2.2809124913548695,8.89918961916632,630.7075385209973
26 4 24 N D,1,0,0,0
27 22 22 N D,1,0,0,0
28 17 18 N O,1,0,0,0
29 24 1 N P,1,0,0,0
30 10 3 N D,1,0,0,0
31 21 2 N P,1,0,0,0
32 12 8 N B,1,0,0,0
33 11 7 N O,1,0,0,0
34 15 7 N B,1,0,0,0
35 11 21 N C,0,3.5949100770979725,5.9304129219010235,326.2569498590019
36 20 19 B C,0,3.1282393896607292,7.879569260155669,253.28929291799432
37 11 2 N C,0,2.4708716120656913,8.79312094147373,692.2056256739888
38 13 5 N C,0,4.0533045869259885,3.803535838572378,210.8448995409999
39 10 13 N D,0,2.6779641652222566,5.673631474081732,133.7436952190037
40 21 8 N D,1,0,0,0
41 19 10 N P,1,0,0,0
42 13 4 N B,1,0,0,0
43 2 23 N C,0,2.608182198600055,7.877463446547531,580.1229657529911
44 12 21 N D,1,0,0,0
45 17 24 N C,0,3.47755193247318,4.889545451962877,363.5613702260016
46 25 10 N O,0,2.7244418215066495,5.303538821671685,211.43428625600063
47 17 13 N C,0,3.1219005370139787,0.6285159364772457,19.957275236025453
48 18 22 N C,0,3.8680348788946843,3.782566640683448,285.51307317000465
49 13 7 N B,1,0,0,0
50 18 24 N C,0,3.6127505214618396,4.40077071354707,328.4629052070086
51 10 7 N C,0,3.9281738639530728,4.333669871465721,253.56025743400096
52 22 6 N C,0,3.9544029618536816,4.870538581219998,246.78042670697323
53 8 14 N C,0,4.360130951596201,3.0641950386369095,226.59238048098632
54 9 13 N C,0,4.454216788494971,2.4531071260721533,164.1628958589863
55 2 21 N B,1,0,0,0
56 15 21 N B,0,2.726390341329031,3.5576091370741603,113.68210020998958
57 9 8 N C,0,4.038115246965852,4.410992411451445,252.18347265399643
