iteration_test,failures,policy,miura,time
0 3 5 N L,0,1.9471378506600425,8.224902278200007,214.9615072279994
1 6 3 N L,0,2.4094803916889798,4.082871058786128,84.80299204000039
2 10 2 L P,0,1.4938150520698095,8.56044461523036,259.0106312739954
3 4 2 N C,0,1.811097769777421,8.049063668063669,159.01067815499846
4 6 8 N D,0,2.3073582278530247,3.7759475654681647,154.49701453199668
5 4 9 N L,1,0,0,0
6 10 6 N D,0,2.0313923314124254,7.3019347431101105,168.3901197959931
7 3 4 N L,0,2.520595944276367,6.14793572859092,154.52814785699593
8 6 4 N O,0,2.9726155745683887,2.2853112693062556,52.355174601005274
9 2 7 N D,0,1.612480969062947,8.844549975112605,182.00380019099975
10 8 8 N T,0,2.54289462597566,1.6511417238252757,16.09930557399639
11 7 4 N C,0,2.2338939822141364,6.043102918503921,803.0724746269989
12 9 10 N T,0,2.3023458120724847,5.520291889557365,127.11034294300771
13 9 8 N T,0,2.378695490933814,2.6960379156769503,25.160333534993697
14 5 5 N O,0,2.8874329356398376,2.81914304131203,61.71282171001076
15 2 3 N L,0,2.178548612991789,8.00797595960095,175.73685589899833
16 4 10 N C,0,2.9050406306853547,7.110811470028263,97.17006907200266
17 4 6 N O,0,2.782919554576469,4.5595006778646034,95.23850711800333
18 6 7 N T,0,2.804930305864714,2.8792422315566473,25.196066924996558
19 4 6 N C,0,2.5917310726269425,7.336476590521324,204.91179761900275
20 4 7 N T,0,2.5319627345042197,4.7805279453875285,56.220773683991865
21 1 6 N T,0,2.102599874852324,6.492415116803654,183.39623007000773
22 2 7 N T,0,2.03877951863429,7.668836694156716,143.85580798701267
23 3 2 N C,0,1.8932825052315394,7.1817810474364165,219.95688599999994
24 9 4 N T,0,2.243592334013235,6.404803947228262,25.24437349299842
25 9 3 N P,0,1.9154747598559214,7.39425579314882,217.33477686900005
26 6 4 N C,0,2.1655228715782777,7.5169125789547095,127.65003581000201
27 6 4 N T,0,2.442180069745893,3.7551108263173223,76.52356435199908
28 4 1 N D,1,0,0,0
29 6 5 N O,0,2.7384442435554903,2.1740151608955713,45.47430530699785
30 7 5 N D,0,2.1102004943225277,5.423426942468701,79.29938728400157
31 5 2 N D,1,0,0,0
32 3 9 N D,0,2.131067147220137,8.470732316362861,119.80563288199482
33 3 1 N P,0,2.5866959940813645,6.0638143337215125,160.97700327700295
34 1 4 N T,0,2.001300632480124,6.732406331902549,220.96144749499217
35 6 5 N L,0,3.0185132907948327,4.823167211209676,108.87368579900067
36 3 7 N O,0,2.4352008078445633,5.687375391051492,131.9147703720082
37 9 5 N C,0,1.8545523528469345,6.737629487823021,130.2791220099898
38 6 3 N O,0,2.5009140068567337,1.2429726761246023,16.14550133299781
39 7 10 N P,0,2.6318924107736916,6.306817617683266,149.27025238198985
40 7 2 N L,0,3.0874306566507426,5.706932449566153,222.26916881499346
41 5 9 N T,0,2.351591635204749,3.8273294942327505,73.02190036300453
42 4 3 N L,0,2.5196276130327666,8.95996634886864,115.94039782800246
43 10 2 L T,0,1.9378882078763255,7.829496066583099,94.57845626299968
44 4 4 N C,0,2.4230099884447753,7.820426782497879,390.75289088000136
45 8 8 N T,0,2.190114207334228,1.5544466771815675,16.226293781001004
46 9 1 N D,1,0,0,0
47 4 7 N C,0,3.042188710244964,5.364486353019305,311.5071988510026
48 4 7 N D,0,1.9707851560843084,6.730305313999027,111.24420563099557
49 3 2 N D,1,0,0,0
50 3 6 N D,0,1.8274131935934492,7.143456524099819,159.19054383097682
51 7 7 N P,0,2.4169226224026734,5.529879440309274,121.12587000100757
52 1 2 N C,1,0,0,0
53 4 8 N D,0,2.109908382716922,6.231950098851109,117.93175357099972
54 9 7 N T,0,1.5013689087236348,0.8172358694077293,3.660307926009409
55 2 1 N T,1,0,0,0
56 5 8 N L,0,1.853479093344933,6.993729956314452,180.49601862201234
57 3 9 N T,0,2.211896803025627,5.623350184765205,111.65760219199001
58 2 7 N D,0,1.7890550640425746,7.403787173813642,142.16074757900788
59 1 8 N O,0,1.835419913756663,7.846295923957894,216.43566697699134
60 4 1 N T,0,1.779742263849554,7.588499203080788,175.67157973599387
61 3 8 N L,0,1.7121502242433562,7.598277892318497,236.42453954799566
62 5 10 N T,0,2.3035221930612213,4.505264101211013,82.53146818297682
60 4 1 N T,0,1.7684694733284547,7.364275948187727,89.33111738700018
61 3 8 N L,0,1.9169501120737915,8.621551372906671,106.71093444600001
62 5 10 N T,0,2.5678436686662156,4.839427455667638,61.31917014999999
60 4 1 N T,0,1.484489689313083,8.778897858391035,83.67492211202625
61 3 8 N L,0,1.743572460535008,7.295287804264907,124.17497141601052
62 5 10 N T,0,2.496128333454583,7.300966759900029,47.0166045310325
63 3 10 N O,0,1.3305287152120382,9.344504984545923,226.27483163500438
64 4 6 N O,0,2.583117876537616,3.9092396759455585,41.32010760798585
65 7 8 N D,0,2.0145927774553134,7.318812480028859,152.2518245149986
66 7 3 N L,0,2.636995016373669,8.74542147134868,32.346900990989525
67 2 5 N T,0,2.1074423999328498,5.8032884738194,69.55403558403486
68 5 4 N L,0,2.302420874111427,6.384732603729015,53.51779241999611
60 4 1 N T,0,1.770898540438707,7.6206359140172415,85.08708560396917
61 3 8 N L,0,1.8098409442646393,7.478136131255736,128.97833263402572
62 5 10 N T,0,2.260259695132047,5.117245558095885,41.15885017398978
63 3 10 N O,0,1.348508891955785,9.271003266420909,217.53676879103296
64 4 6 N O,0,2.6559299271439487,4.162012402037139,57.015722604002804
65 7 8 N D,0,3.035419790026487,2.9759784745290396,23.28203870501602
66 7 3 N L,0,2.4865674831146616,2.9477525088439114,35.16056866303552
67 2 5 N T,0,2.031503188722914,6.372123454243847,103.97396387602203
68 5 4 N L,0,2.436690224958876,6.92721273868852,32.923166422056966
60 4 1 N T,0,1.7152416104515917,7.7146514340517225,100.16520188300638
61 3 8 N L,0,1.8498181931099629,7.797018528217238,102.02033121802378
62 5 10 N T,0,2.717630911473866,5.149066321719966,41.67054766503861
63 3 10 N O,0,1.7031143658415289,8.02081666894078,612.487506535952
64 4 6 N O,0,2.6125539662297785,3.8481903480828956,58.011239134008065
65 7 8 N D,0,2.528145717113053,8.218284980485663,232.15852383704623
66 7 3 N L,0,3.0611722407690194,5.169658797049518,112.48015708499588
67 2 5 N T,0,2.2775543284066067,5.924294798077734,72.61127706302796
68 5 4 N L,0,3.1779342282750718,4.45164876836536,38.00470013101585
60 4 1 N T,0,1.8409429345282207,6.9751145857016885,194.99613445000432
61 3 8 N L,0,1.94611166433614,8.105942341322333,160.29741615901003
62 5 10 N T,0,2.3035221930612213,4.505264101211013,63.192348315002164
60 4 1 N T,0,1.7859096425697039,7.344180177613457,84.28100592101691
61 3 8 N L,0,1.8035111095119738,8.139783230607643,156.72614995902404
62 5 10 N T,0,2.3845577107190166,5.261293789668993,59.67909479601076
63 3 10 N O,0,1.1153918895996722,9.967067629730401,338.56357994501013
64 4 6 N O,0,2.623252029653244,4.202914842095399,56.409298874030355
60 4 1 N T,0,2.1003070319705337,7.531176372777799,266.5371699850075
61 3 8 N L,0,1.6030802761103047,8.506318820421157,242.3239531200088
62 5 10 N T,0,2.346519676329854,4.8542848236812235,159.77231014199788
63 3 10 N O,0,1.0998329852122706,9.991717590158014,259.48143095200066
64 4 6 N O,0,2.561326089538042,4.320212755507403,99.88694656400185
65 7 8 N D,0,2.14912998171974,6.394786256346673,659.9096502939938
66 7 3 N L,0,2.3883368042531683,2.2638478358337353,139.49290868701064
67 2 5 N T,0,2.1945672936391754,5.879690660929981,140.59202967700548
68 5 4 N L,0,2.4589407028485732,6.2315177572788665,142.5256984160078
69 1 9 N O,1,0,0,0
70 8 4 N L,0,2.4554695087728464,2.014680669484857,45.05550222400052
71 4 4 N C,0,1.950575616759273,6.746839456831474,202.0384124150005
72 2 1 N T,1,0,0,0
73 5 3 N D,1,0,0,0
74 9 4 N T,0,2.432807240252937,1.9746992101454577,57.21057264099363
75 1 5 N T,0,2.2213073521333495,6.664712466858243,188.9472751749854
76 9 10 N P,0,1.5154370755633089,8.330243412733907,199.63789682101924
77 9 9 N P,0,2.0029739986535438,7.588343944545426,176.9024785879883
78 7 1 O L,0,2.2986384267233286,7.688415704662919,170.25511473897495
79 8 10 N T,0,2.1323612725762997,4.782878554600144,139.89961396798026
80 10 10 D C,0,2.6738723688018724,9.938333577909647,215.30661613499979
