iteration_test,failures,policy,miura,time
0 22 36 N T,1,0,0,0
1 45 27 N O,0,2.2731074046203115,7.176601433988703,225.40837008098606
2 20 35 N C,0,2.7177619126251127,5.139922122772695,156.05096119595692
3 25 29 N C,0,3.2299592183681987,3.036745931365484,89.47655183798634
4 26 28 N C,0,2.988201734964532,3.189737434019789,73.38129810499959
5 38 41 N P,1,0,0,0
6 22 32 N P,0,2.499397203184894,6.736329562131844,226.04950313293375
7 48 39 N C,1,0,0,0
8 7 36 N D,0,1.6618492817720072,9.770036931135218,397.15633304195944
9 25 23 N C,0,2.113433666529649,7.699719377288366,219.9061276690336
10 27 26 N P,0,1.7740653113945661,9.698525120532642,587.6074989319313
11 49 21 N L,0,2.299283619669458,8.390334826610426,211.12851645203773
12 4 39 N D,1,0,0,0
13 49 4 N L,0,2.160201627944994,1.380935828773271,19.118314747931436
14 26 32 N L,1,0,0,0
15 13 42 N C,0,2.1956354438253194,8.25891159664146,255.38231349701528
16 14 13 N L,1,0,0,0
17 18 11 N P,0,1.3482590223716997,9.946306917675063,501.7123999070609
18 10 19 N O,1,0,0,0
19 10 20 N L,1,0,0,0
20 27 16 N C,0,1.9333008254466417,8.68321673379831,333.78581865201704
21 1 24 N O,1,0,0,0
22 44 39 N C,0,1.6069406242074307,9.834194852960614,351.12940695497673
23 17 49 N D,1,0,0,0
20 27 16 N C,0,1.9311682009356743,8.66661413835138,314.2091329980176
21 1 24 N O,1,0,0,0
20 27 16 N C,0,1.8649098339126389,9.036668038444965,663.4633332820085
21 1 24 N O,1,0,0,0
22 44 39 N C,0,1.6277249259060769,9.847905226811298,677.1002330130141
23 17 49 N D,1,0,0,0
24 5 50 N L,1,0,0,0
25 36 24 N D,0,1.9214310453483077,9.116526411171222,936.7392191500112
26 21 13 N T,0,1.488679914483506,9.956403100389064,4023.929034486995
27 44 4 N L,0,3.023553512175157,2.0734532654116755,73.48842980299378
28 13 47 N L,1,0,0,0
29 7 46 N O,1,0,0,0
30 28 29 N L,1,0,0,0
31 19 16 N D,0,5.048887468821086,2.1674818455380778,296.2485683999839
32 1 18 N O,1,0,0,0
33 33 42 N D,1,0,0,0
34 9 34 N C,0,1.8154957584413465,9.522269311371453,429.46942418598337
35 47 8 N L,0,2.826392077484111,2.3446337214235706,107.86620033002691
36 1 19 N O,1,0,0,0
37 9 29 N C,0,1.8738993083926208,9.393607400188705,506.2599251169595
30 28 29 N L,1,0,0,0
31 19 16 N D,0,4.500275291419543,2.171107314860501,196.75720319600077
32 1 18 N O,1,0,0,0
33 33 42 N D,1,0,0,0
34 9 34 N C,0,1.918728645299121,9.305491266103786,465.4922123159631
35 47 8 N L,0,3.3314671211840254,2.3475507809332385,91.89413073298056
36 1 19 N O,1,0,0,0
37 9 29 N C,0,2.073847528845846,8.75254840678612,607.529572238971
38 1 16 N L,1,0,0,0
39 42 20 N D,1,0,0,0
40 9 6 N C,1,0,0,0
41 27 34 N P,0,1.844581737450762,9.36576635456294,596.7452550620073
42 47 6 N C,1,0,0,0
43 15 38 N D,1,0,0,0
44 4 37 N T,1,0,0,0
45 2 37 N O,1,0,0,0
46 3 19 N P,0,1.659508609316122,9.866679768674116,1286.2933896690374
47 6 48 N C,1,0,0,0
48 39 32 N C,0,2.790671708410913,4.612349418054134,228.368863303971
49 23 42 N L,1,0,0,0
50 27 40 N T,0,2.400144060397767,7.102854218162342,348.32077833800577
51 43 36 N O,1,0,0,0
52 3 11 N D,0,3.4119963434039837,4.3742570336028095,327.3320627809735
53 34 50 N L,1,0,0,0
54 23 50 N L,1,0,0,0
55 26 44 N C,0,2.8361406397863576,4.176569787333522,214.19646441203076
56 30 45 N P,1,0,0,0
50 27 40 N T,0,2.4312382397939745,7.210185216547418,196.734105207026
50 27 40 N T,0,2.362077640156971,7.702702538758421,404.7633554870263
51 43 36 N O,1,0,0,0
52 3 11 N D,0,3.5656278601301916,4.045179208777239,367.36958688503364
53 34 50 N L,1,0,0,0
54 23 50 N L,1,0,0,0
55 26 44 N C,0,2.8493866004833057,3.8243320743165374,204.0233039399609
56 30 45 N P,1,0,0,0
57 3 38 N T,1,0,0,0
58 1 25 N C,1,0,0,0
59 1 50 N C,1,0,0,0
60 42 23 N C,0,2.1181526894779403,7.8109645515406845,524.0705917500309
61 5 27 N T,1,0,0,0
62 4 1 N P,1,0,0,0
63 34 36 N D,1,0,0,0
64 9 45 N P,0,2.913100388007057,3.9674929774973076,260.2248018219834
65 5 10 N D,0,3.9611409545185112,3.2213530932013485,296.71838663099334
66 44 17 N C,0,1.7490052434231949,9.535905508344426,712.2657082059886
67 7 18 N P,0,2.4045665781668135,6.832207195765937,481.3160688779899
68 9 29 N T,1,0,0,0
69 30 6 N C,1,0,0,0
70 5 35 N O,1,0,0,0
71 48 49 N D,1,0,0,0
72 14 48 N T,1,0,0,0
73 9 47 N D,1,0,0,0
74 10 23 N D,0,2.9903751698650454,5.728754551965947,470.0172196769854
