iteration_test,failures,policy,miura,time
0 3 5 N L,0,1.917872680461648,6.819505503602719,4.7853921329951845
1 6 3 N L,0,2.936975726566921,3.6299507125185047,5.097725899002398
2 10 2 L P,0,1.7395332795396077,8.159303332633465,2.5275712120055687
3 4 2 N C,0,1.9729431404905706,7.448073215765126,4.624063591007143
4 6 8 N D,0,2.391146601721911,4.234295816474917,5.798147599998629
5 4 9 N L,0,1.7361975096903974,8.241121156191326,5.394783477997407
6 10 6 N D,0,1.8228589564045048,6.818321844269776,6.081107773003168
7 3 4 N L,0,2.244606818915144,5.894520697736305,5.881388759997208
8 6 4 N O,0,2.8316272831121374,2.039591400436474,5.166905549005605
9 2 7 N D,0,2.043051295257571,7.206064946319991,5.883518789996742
10 8 8 N T,0,2.735509109926126,1.9172484655406141,4.445337009994546
11 7 4 N C,0,2.2392119731022566,4.923473103145079,5.235474679997424
12 9 10 N T,0,1.9751490951776418,6.439273503122115,5.049246772003244
13 9 8 N T,0,2.378695490933814,2.6960379156769503,4.997299986993312
14 5 5 N O,0,3.0137298014552667,3.2613325830664928,5.009923145989887
15 2 3 N L,0,2.1101294256597614,6.782297687609286,5.169760406992282
16 4 10 N C,0,2.3600957890692222,4.212878313134647,4.498571613003151
17 4 6 N O,0,2.648982685820012,4.605945901961044,4.601761799000087
18 6 7 N T,0,2.6427362565083845,2.0965664249334734,4.69966359200771
19 4 6 N C,0,2.262310294203733,5.0498222963556465,4.889214926006389
20 4 7 N T,0,2.504976220479922,3.375229313903192,5.139786903993809
21 1 6 N T,0,2.3888257573752614,6.465021347831582,4.84915028901014
22 2 7 N T,0,2.1067554610402124,7.171319592070948,4.966654208998079
23 3 2 N C,0,1.8120380192896035,7.857855963408739,5.338641385009396
24 9 4 N T,0,2.7913047684831196,2.0263043919381194,3.829472154000541
25 9 3 N P,0,2.0923438241004138,6.951936053324952,2.657808075004141
26 6 4 N C,0,2.1768373309988718,5.314174984831535,4.915525745003833
27 6 4 N T,0,2.359252446107586,4.925801394231299,4.106304072993225
28 4 1 N D,0,1.3484254698061178,8.72306579354654,5.149217444006354
29 6 5 N O,0,2.795567799410759,2.560977396101034,4.922146607001196
30 7 5 N D,0,2.0617660435316076,5.917845091179635,4.989168277999852
31 5 2 N D,0,1.682447863112558,8.22950329006286,5.470121307007503
32 3 9 N D,0,2.014895818291809,6.251381362657987,4.4026121420029085
33 3 1 N P,0,3.1059409011153356,5.523101045284665,2.6188380679959664
34 1 4 N T,0,2.219233091269393,7.061917847591147,4.065189171989914
35 6 5 N L,0,2.3583254065413657,5.191819650303631,4.422837491991231
36 3 7 N O,0,2.0984775862236993,7.085295034007952,4.644423050005571
37 9 5 N C,0,1.9789336377634448,5.700350051302767,4.576271622994682
38 6 3 N O,0,2.819795761151859,1.4350415461874355,3.471854135990725
