key,average,std_err
 correct_C,[0.16  0.16  0.232 0.236 0.252 0.348 0.384 0.404 0.452 0.46  0.5   0.512 0.58  0.62  0.62  0.632 0.664 0.684 0.764 0.764],[0.02319 0.02319 0.0267  0.02686 0.02746 0.03013 0.03076 0.03103 0.03148 0.03152 0.03162 0.03161 0.03122 0.0307  0.0307  0.0305  0.02987 0.0294  0.02686 0.02686]
 correct_D,[0.136 0.148 0.148 0.224 0.224 0.24  0.24  0.268 0.308 0.38  0.444 0.524 0.536 0.572 0.588 0.6   0.624 0.624 0.636 0.684],[0.02168 0.02246 0.02246 0.02637 0.02637 0.02701 0.02701 0.02801 0.0292  0.0307  0.03142 0.03159 0.03154 0.03129 0.03113 0.03098 0.03063 0.03063 0.03043 0.0294 ]
 correct_L,[0.388 0.388 0.4   0.416 0.436 0.488 0.512 0.556 0.568 0.608 0.66  0.756 0.788 0.844 0.9   0.9   0.908 0.908 0.908 0.908],[0.03082 0.03082 0.03098 0.03117 0.03136 0.03161 0.03161 0.03142 0.03133 0.03088 0.02996 0.02716 0.02585 0.02295 0.01897 0.01897 0.01828 0.01828 0.01828 0.01828]
 correct_O,[0.232 0.24  0.308 0.372 0.428 0.484 0.496 0.616 0.716 0.748 0.82  0.848 0.888 0.908 0.928 0.928 0.928 0.928 0.928 0.928],[0.0267  0.02701 0.0292  0.03057 0.03129 0.03161 0.03162 0.03076 0.02852 0.02746 0.0243  0.02271 0.01995 0.01828 0.01635 0.01635 0.01635 0.01635 0.01635 0.01635]
 correct_P,[0.108 0.136 0.136 0.204 0.252 0.284 0.4   0.456 0.492 0.592 0.636 0.68  0.692 0.724 0.76  0.764 0.788 0.788 0.796 0.808],[0.01963 0.02168 0.02168 0.02549 0.02746 0.02852 0.03098 0.0315  0.03162 0.03108 0.03043 0.0295  0.0292  0.02827 0.02701 0.02686 0.02585 0.02585 0.02549 0.02491]
 correct_T,[0.304 0.304 0.42  0.42  0.452 0.472 0.5   0.528 0.572 0.6   0.644 0.68  0.712 0.72  0.724 0.788 0.796 0.808 0.808 0.856],[0.02909 0.02909 0.03122 0.03122 0.03148 0.03157 0.03162 0.03157 0.03129 0.03098 0.03028 0.0295  0.02864 0.0284  0.02827 0.02585 0.02549 0.02491 0.02491 0.0222 ]
 p_confidence_C,[0.16  0.16  0.232 0.236 0.252 0.348 0.384 0.404 0.452 0.46  0.5   0.512 0.58  0.62  0.62  0.632 0.664 0.684 0.764 0.764],[0.02319 0.02319 0.0267  0.02686 0.02746 0.03013 0.03076 0.03103 0.03148 0.03152 0.03162 0.03161 0.03122 0.0307  0.0307  0.0305  0.02987 0.0294  0.02686 0.02686]
 p_confidence_D,[0.136 0.148 0.148 0.224 0.224 0.24  0.24  0.268 0.308 0.38  0.444 0.524 0.536 0.572 0.588 0.6   0.624 0.624 0.636 0.684],[0.02168 0.02246 0.02246 0.02637 0.02637 0.02701 0.02701 0.02801 0.0292  0.0307  0.03142 0.03159 0.03154 0.03129 0.03113 0.03098 0.03063 0.03063 0.03043 0.0294 ]
 p_confidence_L,[0.388 0.388 0.4   0.416 0.436 0.488 0.512 0.556 0.568 0.608 0.66  0.756 0.788 0.844 0.9   0.9   0.908 0.908 0.908 0.908],[0.03082 0.03082 0.03098 0.03117 0.03136 0.03161 0.03161 0.03142 0.03133 0.03088 0.02996 0.02716 0.02585 0.02295 0.01897 0.01897 0.01828 0.01828 0.01828 0.01828]
 p_confidence_O,[0.232 0.24  0.308 0.372 0.428 0.484 0.496 0.616 0.716 0.748 0.82  0.848 0.888 0.908 0.928 0.928 0.928 0.928 0.928 0.928],[0.0267  0.02701 0.0292  0.03057 0.03129 0.03161 0.03162 0.03076 0.02852 0.02746 0.0243  0.02271 0.01995 0.01828 0.01635 0.01635 0.01635 0.01635 0.01635 0.01635]
 p_confidence_P,[0.108 0.136 0.136 0.204 0.252 0.284 0.4   0.456 0.492 0.592 0.636 0.68  0.692 0.724 0.76  0.764 0.788 0.788 0.796 0.808],[0.01963 0.02168 0.02168 0.02549 0.02746 0.02852 0.03098 0.0315  0.03162 0.03108 0.03043 0.0295  0.0292  0.02827 0.02701 0.02686 0.02585 0.02585 0.02549 0.02491]
 p_confidence_T,[0.304 0.304 0.42  0.42  0.452 0.472 0.5   0.528 0.572 0.6   0.644 0.68  0.712 0.72  0.724 0.788 0.796 0.808 0.808 0.856],[0.02909 0.02909 0.03122 0.03122 0.03148 0.03157 0.03162 0.03157 0.03129 0.03098 0.03028 0.0295  0.02864 0.0284  0.02827 0.02585 0.02549 0.02491 0.02491 0.0222 ]
