key,average,std_err
 correct_C,[0.192 0.208 0.276 0.276 0.292 0.372 0.416 0.432 0.476 0.484 0.5   0.54  0.556 0.568 0.632 0.664 0.684 0.812 0.82  0.84 ],[0.02491 0.02567 0.02827 0.02827 0.02876 0.03057 0.03117 0.03133 0.03159 0.03161 0.03162 0.03152 0.03142 0.03133 0.0305  0.02987 0.0294  0.02471 0.0243  0.02319]
 correct_D,[0.124 0.124 0.148 0.148 0.212 0.256 0.264 0.32  0.348 0.392 0.404 0.42  0.468 0.476 0.568 0.624 0.628 0.672 0.68  0.716],[0.02084 0.02084 0.02246 0.02246 0.02585 0.0276  0.02788 0.0295  0.03013 0.03088 0.03103 0.03122 0.03156 0.03159 0.03133 0.03063 0.03057 0.02969 0.0295  0.02852]
 correct_L,[0.36  0.372 0.392 0.4   0.412 0.428 0.432 0.516 0.548 0.58  0.588 0.596 0.712 0.768 0.796 0.852 0.864 0.88  0.904 0.94 ],[0.03036 0.03057 0.03088 0.03098 0.03113 0.03129 0.03133 0.03161 0.03148 0.03122 0.03113 0.03103 0.02864 0.0267  0.02549 0.02246 0.02168 0.02055 0.01863 0.01502]
 correct_O,[0.26  0.304 0.34  0.38  0.448 0.468 0.536 0.604 0.604 0.756 0.828 0.888 0.928 0.928 0.936 0.964 0.964 0.972 0.972 0.972],[0.02774 0.02909 0.02996 0.0307  0.03145 0.03156 0.03154 0.03093 0.03093 0.02716 0.02387 0.01995 0.01635 0.01635 0.01548 0.01178 0.01178 0.01043 0.01043 0.01043]
 correct_P,[0.128 0.144 0.208 0.208 0.284 0.336 0.364 0.448 0.52  0.572 0.608 0.648 0.696 0.724 0.788 0.788 0.796 0.804 0.824 0.848],[0.02113 0.0222  0.02567 0.02567 0.02852 0.02987 0.03043 0.03145 0.0316  0.03129 0.03088 0.03021 0.02909 0.02827 0.02585 0.02585 0.02549 0.02511 0.02409 0.02271]
 correct_T,[0.244 0.268 0.36  0.36  0.416 0.464 0.488 0.508 0.528 0.58  0.616 0.66  0.696 0.724 0.756 0.76  0.764 0.772 0.788 0.828],[0.02716 0.02801 0.03036 0.03036 0.03117 0.03154 0.03161 0.03162 0.03157 0.03122 0.03076 0.02996 0.02909 0.02827 0.02716 0.02701 0.02686 0.02653 0.02585 0.02387]
 p_confidence_C,[0.192 0.208 0.276 0.276 0.292 0.372 0.416 0.432 0.476 0.484 0.5   0.54  0.556 0.568 0.632 0.664 0.684 0.812 0.82  0.84 ],[0.02491 0.02567 0.02827 0.02827 0.02876 0.03057 0.03117 0.03133 0.03159 0.03161 0.03162 0.03152 0.03142 0.03133 0.0305  0.02987 0.0294  0.02471 0.0243  0.02319]
 p_confidence_D,[0.124 0.124 0.148 0.148 0.212 0.256 0.264 0.32  0.348 0.392 0.404 0.42  0.468 0.476 0.568 0.624 0.628 0.672 0.68  0.716],[0.02084 0.02084 0.02246 0.02246 0.02585 0.0276  0.02788 0.0295  0.03013 0.03088 0.03103 0.03122 0.03156 0.03159 0.03133 0.03063 0.03057 0.02969 0.0295  0.02852]
 p_confidence_L,[0.36  0.372 0.392 0.4   0.412 0.428 0.432 0.516 0.548 0.58  0.588 0.596 0.712 0.768 0.796 0.852 0.864 0.88  0.904 0.94 ],[0.03036 0.03057 0.03088 0.03098 0.03113 0.03129 0.03133 0.03161 0.03148 0.03122 0.03113 0.03103 0.02864 0.0267  0.02549 0.02246 0.02168 0.02055 0.01863 0.01502]
 p_confidence_O,[0.26  0.304 0.34  0.38  0.448 0.468 0.536 0.604 0.604 0.756 0.828 0.888 0.928 0.928 0.936 0.964 0.964 0.972 0.972 0.972],[0.02774 0.02909 0.02996 0.0307  0.03145 0.03156 0.03154 0.03093 0.03093 0.02716 0.02387 0.01995 0.01635 0.01635 0.01548 0.01178 0.01178 0.01043 0.01043 0.01043]
 p_confidence_P,[0.126 0.144 0.208 0.208 0.284 0.336 0.364 0.448 0.52  0.572 0.608 0.648 0.696 0.724 0.788 0.788 0.796 0.804 0.824 0.848],[0.02089 0.0222  0.02567 0.02567 0.02852 0.02987 0.03043 0.03145 0.0316  0.03129 0.03088 0.03021 0.02909 0.02827 0.02585 0.02585 0.02549 0.02511 0.02409 0.02271]
 p_confidence_T,[0.244 0.268 0.36  0.36  0.416 0.464 0.488 0.508 0.528 0.58  0.616 0.66  0.696 0.724 0.756 0.76  0.764 0.772 0.788 0.828],[0.02716 0.02801 0.03036 0.03036 0.03117 0.03154 0.03161 0.03162 0.03157 0.03122 0.03076 0.02996 0.02909 0.02827 0.02716 0.02701 0.02686 0.02653 0.02585 0.02387]
