key,average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 correct_C,0.42,0.576,0.7,0.756,0.804,0.88,0.928,0.964,0.968,0.976,0.98,0.984,0.992,0.992,0.992,0.996,0.996,0.996,0.996,0.992,0.996,0.996,0.996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 correct_D,0.116,0.188,0.244,0.348,0.392,0.472,0.496,0.588,0.624,0.656,0.66,0.664,0.684,0.744,0.736,0.756,0.788,0.784,0.784,0.78,0.76,0.776,0.792,0.812,0.852,0.864,0.872,0.884,0.892,0.892,0.888,0.888,0.888,0.884,0.9,0.892,0.896,0.904,0.9,0.892,0.9,0.908,0.912,0.916,0.92,0.928,0.932,0.924,0.928,0.94,0.944,0.948,0.956,0.948,0.956,0.956,0.948,0.948,0.948,0.952
 correct_L,0.272,0.416,0.5,0.62,0.696,0.744,0.78,0.832,0.86,0.872,0.888,0.9,0.904,0.94,0.94,0.96,0.976,0.98,0.988,0.988,0.988,0.988,0.988,0.988,0.992,0.992,0.992,0.992,0.996,0.996,0.996,0.996,0.992,0.992,0.988,0.988,0.988,0.988,0.992,0.992,0.992,0.992,0.992,0.992,0.992,1,0.996,1,1,1,1,1,1,1,1,1,1,1,1,1
 correct_O,0.348,0.42,0.512,0.584,0.66,0.728,0.768,0.8,0.84,0.876,0.884,0.888,0.904,0.912,0.928,0.932,0.932,0.94,0.948,0.952,0.952,0.964,0.96,0.968,0.972,0.976,0.984,0.988,0.992,0.992,0.984,0.984,0.984,0.984,0.984,0.984,0.988,0.988,0.992,0.988,0.992,0.996,0.996,0.996,0.996,1,1,0.996,0.996,0.996,1,1,1,1,1,1,1,1,1,1
 correct_P,0.392,0.588,0.732,0.82,0.888,0.908,0.956,0.98,0.972,0.976,0.992,0.996,1,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 correct_T,0.504,0.604,0.688,0.756,0.844,0.888,0.92,0.932,0.96,0.976,0.98,0.984,0.988,0.992,0.992,0.992,0.988,0.992,0.992,0.996,0.996,0.996,0.996,0.996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 p_confidence_C,0.10859,0.21416,0.3314,0.4452,0.54169,0.65217,0.75096,0.82415,0.87042,0.89889,0.9198,0.93464,0.95055,0.96065,0.96572,0.97596,0.98065,0.98239,0.98488,0.98403,0.98749,0.98964,0.99202,0.99573,0.99694,0.99749,0.9975,0.99777,0.99805,0.99866,0.99931,0.99968,0.99982,0.99991,0.99995,0.99997,0.99998,0.99999,0.99999,0.99999,0.99999,0.99999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 p_confidence_D,0.03443,0.07865,0.12243,0.19153,0.24099,0.30483,0.34267,0.40785,0.45159,0.48302,0.50229,0.51976,0.5452,0.59924,0.61461,0.63839,0.66587,0.66712,0.66969,0.66914,0.66449,0.68401,0.70347,0.72436,0.758,0.77736,0.79088,0.80257,0.81281,0.82106,0.82449,0.8294,0.83532,0.83518,0.84688,0.8454,0.85022,0.85651,0.85863,0.85615,0.86073,0.86703,0.87249,0.87816,0.8832,0.89278,0.89706,0.89512,0.9003,0.90927,0.91489,0.92132,0.92719,0.92473,0.92986,0.9297,0.92569,0.92672,0.92822,0.93218
 p_confidence_L,0.06661,0.137,0.20691,0.30487,0.38659,0.46325,0.53271,0.61094,0.67194,0.7083,0.74082,0.76872,0.79467,0.83654,0.85267,0.88032,0.90121,0.91302,0.9273,0.93534,0.9434,0.95057,0.95753,0.96502,0.97237,0.97772,0.98059,0.98205,0.98563,0.98712,0.98818,0.98912,0.98792,0.98752,0.98571,0.98596,0.98588,0.98585,0.98952,0.99023,0.99091,0.99125,0.99139,0.99154,0.99165,0.99587,0.99415,0.99666,0.99814,0.99859,0.99886,0.99931,0.99945,0.99949,0.99949,0.99938,0.99926,0.99963,0.99985,0.99991
 p_confidence_O,0.08933,0.15802,0.24609,0.32606,0.41161,0.48986,0.54571,0.5914,0.64203,0.69296,0.73225,0.76201,0.78957,0.81358,0.83964,0.85348,0.86253,0.87827,0.89201,0.90093,0.90681,0.91799,0.92143,0.92938,0.93463,0.93919,0.94776,0.95796,0.96314,0.96671,0.96503,0.96771,0.97036,0.97167,0.97236,0.97279,0.9769,0.97847,0.98136,0.98096,0.98418,0.98679,0.98803,0.99051,0.99172,0.99462,0.9952,0.99332,0.99387,0.99375,0.99592,0.99831,0.99884,0.99893,0.99897,0.99906,0.99911,0.99928,0.99957,0.99972
