key,average,std_err
 correct_C,[0.296 0.276 0.272 0.284 0.292 0.268 0.24  0.26  0.264 0.252 0.28  0.268 0.312 0.296 0.296 0.268 0.26  0.256 0.28  0.312],[0.02887 0.02827 0.02814 0.02852 0.02876 0.02801 0.02701 0.02774 0.02788 0.02746 0.0284  0.02801 0.0293  0.02887 0.02887 0.02801 0.02774 0.0276  0.0284  0.0293 ]
 correct_D,[0.064 0.1   0.08  0.1   0.056 0.076 0.06  0.052 0.04  0.044 0.032 0.032 0.024 0.02  0.024 0.016 0.016 0.016 0.004 0.004],[0.01548 0.01897 0.01716 0.01897 0.01454 0.01676 0.01502 0.01404 0.01239 0.01297 0.01113 0.01113 0.00968 0.00885 0.00968 0.00794 0.00794 0.00794 0.00399 0.00399]
 correct_L,[0.268 0.328 0.372 0.36  0.4   0.448 0.48  0.464 0.468 0.476 0.5   0.5   0.512 0.536 0.528 0.54  0.556 0.516 0.54  0.54 ],[0.02801 0.02969 0.03057 0.03036 0.03098 0.03145 0.0316  0.03154 0.03156 0.03159 0.03162 0.03162 0.03161 0.03154 0.03157 0.03152 0.03142 0.03161 0.03152 0.03152]
 correct_O,[0.112 0.12  0.088 0.088 0.068 0.064 0.044 0.024 0.036 0.028 0.016 0.016 0.012 0.008 0.012 0.008 0.004 0.004 0.008 0.008],[0.01995 0.02055 0.01792 0.01792 0.01592 0.01548 0.01297 0.00968 0.01178 0.01043 0.00794 0.00794 0.00689 0.00563 0.00689 0.00563 0.00399 0.00399 0.00563 0.00563]
 correct_P,[0.2   0.268 0.28  0.276 0.336 0.348 0.368 0.4   0.412 0.4   0.408 0.432 0.436 0.428 0.436 0.452 0.476 0.48  0.496 0.5  ],[0.0253  0.02801 0.0284  0.02827 0.02987 0.03013 0.0305  0.03098 0.03113 0.03098 0.03108 0.03133 0.03136 0.03129 0.03136 0.03148 0.03159 0.0316  0.03162 0.03162]
 correct_T,[0.152 0.248 0.304 0.3   0.3   0.328 0.296 0.3   0.276 0.28  0.26  0.32  0.304 0.296 0.288 0.292 0.324 0.344 0.376 0.36 ],[0.02271 0.02731 0.02909 0.02898 0.02898 0.02969 0.02887 0.02898 0.02827 0.0284  0.02774 0.0295  0.02909 0.02887 0.02864 0.02876 0.0296  0.03004 0.03063 0.03036]
 p_confidence_C,[0.296 0.276 0.272 0.284 0.292 0.268 0.24  0.26  0.264 0.252 0.28  0.268 0.312 0.296 0.296 0.268 0.26  0.256 0.28  0.312],[0.02887 0.02827 0.02814 0.02852 0.02876 0.02801 0.02701 0.02774 0.02788 0.02746 0.0284  0.02801 0.0293  0.02887 0.02887 0.02801 0.02774 0.0276  0.0284  0.0293 ]
 p_confidence_D,[0.064 0.1   0.08  0.1   0.056 0.076 0.06  0.052 0.04  0.044 0.032 0.032 0.024 0.02  0.024 0.016 0.016 0.016 0.004 0.004],[0.01548 0.01897 0.01716 0.01897 0.01454 0.01676 0.01502 0.01404 0.01239 0.01297 0.01113 0.01113 0.00968 0.00885 0.00968 0.00794 0.00794 0.00794 0.00399 0.00399]
 p_confidence_L,[0.268 0.328 0.372 0.36  0.4   0.448 0.48  0.464 0.468 0.476 0.5   0.5   0.512 0.536 0.528 0.54  0.556 0.516 0.54  0.54 ],[0.02801 0.02969 0.03057 0.03036 0.03098 0.03145 0.0316  0.03154 0.03156 0.03159 0.03162 0.03162 0.03161 0.03154 0.03157 0.03152 0.03142 0.03161 0.03152 0.03152]
 p_confidence_O,[0.112 0.12  0.088 0.088 0.068 0.064 0.044 0.024 0.036 0.028 0.016 0.016 0.012 0.008 0.012 0.008 0.004 0.004 0.008 0.008],[0.01995 0.02055 0.01792 0.01792 0.01592 0.01548 0.01297 0.00968 0.01178 0.01043 0.00794 0.00794 0.00689 0.00563 0.00689 0.00563 0.00399 0.00399 0.00563 0.00563]
 p_confidence_P,[0.2   0.268 0.28  0.276 0.336 0.348 0.368 0.4   0.412 0.4   0.408 0.432 0.436 0.428 0.436 0.452 0.476 0.48  0.496 0.5  ],[0.0253  0.02801 0.0284  0.02827 0.02987 0.03013 0.0305  0.03098 0.03113 0.03098 0.03108 0.03133 0.03136 0.03129 0.03136 0.03148 0.03159 0.0316  0.03162 0.03162]
 p_confidence_T,[0.152 0.248 0.304 0.3   0.3   0.328 0.296 0.3   0.276 0.28  0.26  0.32  0.304 0.296 0.288 0.292 0.324 0.344 0.376 0.36 ],[0.02271 0.02731 0.02909 0.02898 0.02898 0.02969 0.02887 0.02898 0.02827 0.0284  0.02774 0.0295  0.02909 0.02887 0.02864 0.02876 0.0296  0.03004 0.03063 0.03036]
