key,average,std_err
 correct_C,[0.296 0.296 0.352 0.352 0.408 0.408 0.5   0.512 0.548 0.592 0.64  0.676 0.736 0.832 0.9   0.92  0.936 0.936 0.944 0.948],[0.02887 0.02887 0.03021 0.03021 0.03108 0.03108 0.03162 0.03161 0.03148 0.03108 0.03036 0.0296  0.02788 0.02365 0.01897 0.01716 0.01548 0.01548 0.01454 0.01404]
 correct_D,[0.064 0.084 0.1   0.132 0.132 0.164 0.188 0.216 0.312 0.328 0.376 0.472 0.5   0.592 0.648 0.68  0.704 0.752 0.824 0.848],[0.01548 0.01754 0.01897 0.02141 0.02141 0.02342 0.02471 0.02603 0.0293  0.02969 0.03063 0.03157 0.03162 0.03108 0.03021 0.0295  0.02887 0.02731 0.02409 0.02271]
 correct_L,[0.268 0.324 0.352 0.364 0.388 0.428 0.464 0.484 0.536 0.656 0.78  0.82  0.836 0.868 0.904 0.936 0.94  0.948 0.948 0.948],[0.02801 0.0296  0.03021 0.03043 0.03082 0.03129 0.03154 0.03161 0.03154 0.03004 0.0262  0.0243  0.02342 0.02141 0.01863 0.01548 0.01502 0.01404 0.01404 0.01404]
 correct_O,[0.112 0.112 0.116 0.116 0.132 0.164 0.18  0.204 0.244 0.3   0.332 0.444 0.448 0.524 0.572 0.632 0.7   0.728 0.772 0.78 ],[0.01995 0.01995 0.02025 0.02025 0.02141 0.02342 0.0243  0.02549 0.02716 0.02898 0.02978 0.03142 0.03145 0.03159 0.03129 0.0305  0.02898 0.02814 0.02653 0.0262 ]
 correct_P,[0.2   0.212 0.256 0.272 0.348 0.368 0.428 0.456 0.528 0.64  0.728 0.768 0.788 0.82  0.856 0.888 0.92  0.928 0.928 0.952],[0.0253  0.02585 0.0276  0.02814 0.03013 0.0305  0.03129 0.0315  0.03157 0.03036 0.02814 0.0267  0.02585 0.0243  0.0222  0.01995 0.01716 0.01635 0.01635 0.01352]
 correct_T,[0.168 0.2   0.264 0.312 0.384 0.424 0.472 0.496 0.524 0.592 0.596 0.672 0.728 0.82  0.832 0.888 0.92  0.948 0.948 0.948],[0.02365 0.0253  0.02788 0.0293  0.03076 0.03126 0.03157 0.03162 0.03159 0.03108 0.03103 0.02969 0.02814 0.0243  0.02365 0.01995 0.01716 0.01404 0.01404 0.01404]
 p_confidence_C,[0.296 0.296 0.352 0.352 0.408 0.408 0.5   0.512 0.548 0.592 0.64  0.676 0.736 0.832 0.9   0.92  0.936 0.936 0.944 0.948],[0.02887 0.02887 0.03021 0.03021 0.03108 0.03108 0.03162 0.03161 0.03148 0.03108 0.03036 0.0296  0.02788 0.02365 0.01897 0.01716 0.01548 0.01548 0.01454 0.01404]
 p_confidence_D,[0.064 0.084 0.1   0.132 0.132 0.164 0.188 0.216 0.312 0.328 0.376 0.472 0.5   0.592 0.648 0.68  0.704 0.752 0.824 0.848],[0.01548 0.01754 0.01897 0.02141 0.02141 0.02342 0.02471 0.02603 0.0293  0.02969 0.03063 0.03157 0.03162 0.03108 0.03021 0.0295  0.02887 0.02731 0.02409 0.02271]
 p_confidence_L,[0.268 0.324 0.352 0.364 0.388 0.428 0.464 0.484 0.536 0.656 0.78  0.82  0.836 0.868 0.904 0.936 0.94  0.948 0.948 0.948],[0.02801 0.0296  0.03021 0.03043 0.03082 0.03129 0.03154 0.03161 0.03154 0.03004 0.0262  0.0243  0.02342 0.02141 0.01863 0.01548 0.01502 0.01404 0.01404 0.01404]
 p_confidence_O,[0.112 0.112 0.116 0.116 0.132 0.164 0.18  0.204 0.244 0.3   0.332 0.444 0.448 0.524 0.572 0.632 0.7   0.728 0.772 0.78 ],[0.01995 0.01995 0.02025 0.02025 0.02141 0.02342 0.0243  0.02549 0.02716 0.02898 0.02978 0.03142 0.03145 0.03159 0.03129 0.0305  0.02898 0.02814 0.02653 0.0262 ]
 p_confidence_P,[0.2   0.212 0.256 0.272 0.348 0.368 0.428 0.456 0.528 0.64  0.728 0.768 0.788 0.82  0.856 0.888 0.92  0.928 0.928 0.952],[0.0253  0.02585 0.0276  0.02814 0.03013 0.0305  0.03129 0.0315  0.03157 0.03036 0.02814 0.0267  0.02585 0.0243  0.0222  0.01995 0.01716 0.01635 0.01635 0.01352]
 p_confidence_T,[0.168 0.2   0.264 0.312 0.384 0.424 0.472 0.496 0.524 0.592 0.596 0.672 0.728 0.82  0.832 0.888 0.92  0.948 0.948 0.948],[0.02365 0.0253  0.02788 0.0293  0.03076 0.03126 0.03157 0.03162 0.03159 0.03108 0.03103 0.02969 0.02814 0.0243  0.02365 0.01995 0.01716 0.01404 0.01404 0.01404]
