key,average,,,,,,,,,,,,,,,,,,,
 correct_C,0.224,0.256,0.344,0.352,0.392,0.408,0.412,0.512,0.512,0.592,0.64,0.66,0.72,0.792,0.892,0.936,0.936,0.936,0.944,0.948
 correct_D,0.064,0.084,0.084,0.132,0.132,0.164,0.188,0.216,0.316,0.328,0.36,0.464,0.592,0.592,0.648,0.68,0.752,0.78,0.824,0.848
 correct_L,0.268,0.324,0.352,0.388,0.408,0.452,0.464,0.516,0.616,0.668,0.82,0.836,0.868,0.904,0.936,0.936,0.948,0.948,0.948,0.948
 correct_O,0.096,0.096,0.112,0.116,0.132,0.14,0.164,0.18,0.212,0.3,0.34,0.388,0.508,0.524,0.612,0.632,0.68,0.708,0.744,0.772
 correct_P,0.2,0.228,0.272,0.348,0.368,0.424,0.428,0.496,0.596,0.68,0.788,0.82,0.82,0.88,0.888,0.928,0.928,0.928,0.94,0.952
 correct_T,0.212,0.212,0.312,0.312,0.404,0.432,0.432,0.504,0.524,0.592,0.632,0.652,0.764,0.788,0.86,0.888,0.932,0.948,0.948,0.948
 p_confidence_C,0.224,0.256,0.344,0.352,0.392,0.408,0.412,0.512,0.512,0.592,0.64,0.66,0.72,0.792,0.892,0.936,0.936,0.936,0.944,0.948
 p_confidence_D,0.064,0.084,0.084,0.132,0.132,0.164,0.188,0.216,0.316,0.328,0.36,0.464,0.592,0.592,0.648,0.68,0.752,0.78,0.824,0.848
 p_confidence_L,0.268,0.324,0.352,0.388,0.408,0.452,0.464,0.516,0.616,0.668,0.82,0.836,0.868,0.904,0.936,0.936,0.948,0.948,0.948,0.948
 p_confidence_O,0.096,0.096,0.112,0.116,0.132,0.14,0.164,0.18,0.212,0.3,0.34,0.388,0.508,0.524,0.612,0.632,0.68,0.708,0.744,0.772
 p_confidence_P,0.2,0.228,0.272,0.348,0.368,0.424,0.428,0.496,0.596,0.68,0.788,0.82,0.82,0.88,0.888,0.928,0.928,0.928,0.94,0.952
 p_confidence_T,0.212,0.212,0.312,0.312,0.404,0.432,0.432,0.504,0.524,0.592,0.632,0.652,0.764,0.788,0.86,0.888,0.932,0.948,0.948,0.948
,std_err,,,,,,,,,,,,,,,,,,,
 correct_C,0.02637,0.0276,0.03004,0.03021,0.03088,0.03108,0.03113,0.03161,0.03161,0.03108,0.03036,0.02996,0.0284,0.02567,0.01963,0.01548,0.01548,0.01548,0.01454,0.01404
 correct_D,0.01548,0.01754,0.01754,0.02141,0.02141,0.02342,0.02471,0.02603,0.0294,0.02969,0.03036,0.03154,0.03108,0.03108,0.03021,0.0295,0.02731,0.0262,0.02409,0.02271
 correct_L,0.02801,0.0296,0.03021,0.03082,0.03108,0.03148,0.03154,0.03161,0.03076,0.02978,0.0243,0.02342,0.02141,0.01863,0.01548,0.01548,0.01404,0.01404,0.01404,0.01404
 correct_O,0.01863,0.01863,0.01995,0.02025,0.02141,0.02195,0.02342,0.0243,0.02585,0.02898,0.02996,0.03082,0.03162,0.03159,0.03082,0.0305,0.0295,0.02876,0.0276,0.02653
 correct_P,0.0253,0.02653,0.02814,0.03013,0.0305,0.03126,0.03129,0.03162,0.03103,0.0295,0.02585,0.0243,0.0243,0.02055,0.01995,0.01635,0.01635,0.01635,0.01502,0.01352
 correct_T,0.02585,0.02585,0.0293,0.0293,0.03103,0.03133,0.03133,0.03162,0.03159,0.03108,0.0305,0.03013,0.02686,0.02585,0.02195,0.01995,0.01592,0.01404,0.01404,0.01404
 p_confidence_C,0.02637,0.0276,0.03004,0.03021,0.03088,0.03108,0.03113,0.03161,0.03161,0.03108,0.03036,0.02996,0.0284,0.02567,0.01963,0.01548,0.01548,0.01548,0.01454,0.01404
 p_confidence_D,0.01548,0.01754,0.01754,0.02141,0.02141,0.02342,0.02471,0.02603,0.0294,0.02969,0.03036,0.03154,0.03108,0.03108,0.03021,0.0295,0.02731,0.0262,0.02409,0.02271
 p_confidence_L,0.02801,0.0296,0.03021,0.03082,0.03108,0.03148,0.03154,0.03161,0.03076,0.02978,0.0243,0.02342,0.02141,0.01863,0.01548,0.01548,0.01404,0.01404,0.01404,0.01404
 p_confidence_O,0.01863,0.01863,0.01995,0.02025,0.02141,0.02195,0.02342,0.0243,0.02585,0.02898,0.02996,0.03082,0.03162,0.03159,0.03082,0.0305,0.0295,0.02876,0.0276,0.02653
 p_confidence_P,0.0253,0.02653,0.02814,0.03013,0.0305,0.03126,0.03129,0.03162,0.03103,0.0295,0.02585,0.0243,0.0243,0.02055,0.01995,0.01635,0.01635,0.01635,0.01502,0.01352
 p_confidence_T,0.02585,0.02585,0.0293,0.0293,0.03103,0.03133,0.03133,0.03162,0.03159,0.03108,0.0305,0.03013,0.02686,0.02585,0.02195,0.01995,0.01592,0.01404,0.01404,0.01404
