key,average,std_err
 correct_C,[0.176 0.152 0.164 0.164 0.196 0.168 0.14  0.14  0.184 0.152 0.156 0.152 0.164 0.144 0.14  0.124 0.124 0.12  0.128 0.132],[0.02409 0.02271 0.02342 0.02342 0.02511 0.02365 0.02195 0.02195 0.02451 0.02271 0.02295 0.02271 0.02342 0.0222  0.02195 0.02084 0.02084 0.02055 0.02113 0.02141]
 correct_D,[0.244 0.208 0.268 0.252 0.316 0.36  0.376 0.396 0.38  0.444 0.42  0.424 0.432 0.476 0.46  0.468 0.496 0.48  0.484 0.504],[0.02716 0.02567 0.02801 0.02746 0.0294  0.03036 0.03063 0.03093 0.0307  0.03142 0.03122 0.03126 0.03133 0.03159 0.03152 0.03156 0.03162 0.0316  0.03161 0.03162]
 correct_L,[0.352 0.432 0.444 0.488 0.536 0.52  0.528 0.512 0.552 0.576 0.584 0.584 0.604 0.592 0.6   0.62  0.636 0.66  0.68  0.676],[0.03021 0.03133 0.03142 0.03161 0.03154 0.0316  0.03157 0.03161 0.03145 0.03126 0.03117 0.03117 0.03093 0.03108 0.03098 0.0307  0.03043 0.02996 0.0295  0.0296 ]
 correct_O,[0.14  0.148 0.18  0.16  0.192 0.172 0.128 0.16  0.14  0.148 0.14  0.136 0.16  0.16  0.144 0.16  0.168 0.188 0.192 0.164],[0.02195 0.02246 0.0243  0.02319 0.02491 0.02387 0.02113 0.02319 0.02195 0.02246 0.02195 0.02168 0.02319 0.02319 0.0222  0.02319 0.02365 0.02471 0.02491 0.02342]
 correct_P,[0.108 0.212 0.296 0.324 0.336 0.368 0.36  0.388 0.376 0.412 0.412 0.42  0.436 0.432 0.432 0.44  0.436 0.416 0.432 0.44 ],[0.01963 0.02585 0.02887 0.0296  0.02987 0.0305  0.03036 0.03082 0.03063 0.03113 0.03113 0.03122 0.03136 0.03133 0.03133 0.03139 0.03136 0.03117 0.03133 0.03139]
 correct_T,[0.164 0.168 0.208 0.208 0.192 0.196 0.224 0.224 0.224 0.232 0.22  0.232 0.22  0.252 0.224 0.228 0.248 0.252 0.252 0.252],[0.02342 0.02365 0.02567 0.02567 0.02491 0.02511 0.02637 0.02637 0.02637 0.0267  0.0262  0.0267  0.0262  0.02746 0.02637 0.02653 0.02731 0.02746 0.02746 0.02746]
 p_confidence_C,[0.176 0.152 0.164 0.164 0.196 0.168 0.14  0.14  0.184 0.152 0.156 0.152 0.164 0.144 0.14  0.124 0.124 0.12  0.128 0.132],[0.02409 0.02271 0.02342 0.02342 0.02511 0.02365 0.02195 0.02195 0.02451 0.02271 0.02295 0.02271 0.02342 0.0222  0.02195 0.02084 0.02084 0.02055 0.02113 0.02141]
 p_confidence_D,[0.244 0.208 0.268 0.252 0.316 0.36  0.376 0.396 0.38  0.444 0.42  0.424 0.432 0.476 0.46  0.468 0.496 0.48  0.484 0.504],[0.02716 0.02567 0.02801 0.02746 0.0294  0.03036 0.03063 0.03093 0.0307  0.03142 0.03122 0.03126 0.03133 0.03159 0.03152 0.03156 0.03162 0.0316  0.03161 0.03162]
 p_confidence_L,[0.352 0.432 0.444 0.488 0.536 0.52  0.528 0.512 0.552 0.576 0.584 0.584 0.604 0.592 0.6   0.62  0.636 0.66  0.68  0.676],[0.03021 0.03133 0.03142 0.03161 0.03154 0.0316  0.03157 0.03161 0.03145 0.03126 0.03117 0.03117 0.03093 0.03108 0.03098 0.0307  0.03043 0.02996 0.0295  0.0296 ]
 p_confidence_O,[0.14  0.148 0.18  0.16  0.192 0.172 0.128 0.16  0.14  0.148 0.14  0.136 0.16  0.16  0.144 0.16  0.168 0.188 0.192 0.164],[0.02195 0.02246 0.0243  0.02319 0.02491 0.02387 0.02113 0.02319 0.02195 0.02246 0.02195 0.02168 0.02319 0.02319 0.0222  0.02319 0.02365 0.02471 0.02491 0.02342]
 p_confidence_P,[0.108 0.212 0.296 0.324 0.336 0.368 0.36  0.388 0.376 0.412 0.412 0.42  0.436 0.432 0.432 0.44  0.436 0.416 0.432 0.44 ],[0.01963 0.02585 0.02887 0.0296  0.02987 0.0305  0.03036 0.03082 0.03063 0.03113 0.03113 0.03122 0.03136 0.03133 0.03133 0.03139 0.03136 0.03117 0.03133 0.03139]
 p_confidence_T,[0.164 0.168 0.208 0.208 0.192 0.196 0.224 0.224 0.224 0.232 0.22  0.232 0.22  0.252 0.224 0.228 0.248 0.252 0.252 0.252],[0.02342 0.02365 0.02567 0.02567 0.02491 0.02511 0.02637 0.02637 0.02637 0.0267  0.0262  0.0267  0.0262  0.02746 0.02637 0.02653 0.02731 0.02746 0.02746 0.02746]
