key,average,std_err
 correct_C,[0.176 0.148 0.144 0.136 0.152 0.148 0.168 0.172 0.168 0.168 0.168 0.148 0.172 0.148 0.148 0.144 0.14  0.152 0.156 0.168 0.164 0.164 0.172 0.16  0.16  0.16  0.172 0.176 0.168 0.188 0.172 0.164 0.164 0.168 0.176 0.18  0.172 0.172 0.168 0.172 0.18  0.176 0.172 0.172 0.16  0.164 0.148 0.156 0.156 0.152 0.148 0.152 0.148 0.148 0.148 0.148 0.144 0.148 0.148 0.144],[0.02409 0.02246 0.0222  0.02168 0.02271 0.02246 0.02365 0.02387 0.02365 0.02365 0.02365 0.02246 0.02387 0.02246 0.02246 0.0222  0.02195 0.02271 0.02295 0.02365 0.02342 0.02342 0.02387 0.02319 0.02319 0.02319 0.02387 0.02409 0.02365 0.02471 0.02387 0.02342 0.02342 0.02365 0.02409 0.0243  0.02387 0.02387 0.02365 0.02387 0.0243  0.02409 0.02387 0.02387 0.02319 0.02342 0.02246 0.02295 0.02295 0.02271 0.02246 0.02271 0.02246 0.02246 0.02246 0.02246 0.0222  0.02246 0.02246 0.0222 ]
 correct_D,[0.364 0.324 0.332 0.348 0.34  0.384 0.392 0.42  0.424 0.416 0.4   0.416 0.432 0.436 0.452 0.44  0.484 0.476 0.484 0.512 0.508 0.52  0.532 0.536 0.552 0.56  0.556 0.556 0.58  0.572 0.58  0.58  0.58  0.588 0.608 0.62  0.636 0.636 0.656 0.652 0.656 0.656 0.66  0.668 0.672 0.664 0.664 0.66  0.664 0.68  0.684 0.692 0.692 0.696 0.704 0.7   0.692 0.7   0.704 0.708],[0.03043 0.0296  0.02978 0.03013 0.02996 0.03076 0.03088 0.03122 0.03126 0.03117 0.03098 0.03117 0.03133 0.03136 0.03148 0.03139 0.03161 0.03159 0.03161 0.03161 0.03162 0.0316  0.03156 0.03154 0.03145 0.03139 0.03142 0.03142 0.03122 0.03129 0.03122 0.03122 0.03122 0.03113 0.03088 0.0307  0.03043 0.03043 0.03004 0.03013 0.03004 0.03004 0.02996 0.02978 0.02969 0.02987 0.02987 0.02996 0.02987 0.0295  0.0294  0.0292  0.0292  0.02909 0.02887 0.02898 0.0292  0.02898 0.02887 0.02876]
 correct_L,[0.18  0.284 0.348 0.348 0.4   0.388 0.42  0.456 0.504 0.508 0.524 0.532 0.548 0.556 0.576 0.584 0.596 0.592 0.624 0.636 0.648 0.668 0.684 0.696 0.696 0.716 0.728 0.744 0.748 0.752 0.76  0.768 0.764 0.784 0.784 0.796 0.792 0.796 0.808 0.808 0.82  0.82  0.824 0.824 0.828 0.84  0.84  0.844 0.848 0.848 0.848 0.852 0.864 0.864 0.864 0.868 0.868 0.868 0.872 0.872],[0.0243  0.02852 0.03013 0.03013 0.03098 0.03082 0.03122 0.0315  0.03162 0.03162 0.03159 0.03156 0.03148 0.03142 0.03126 0.03117 0.03103 0.03108 0.03063 0.03043 0.03021 0.02978 0.0294  0.02909 0.02909 0.02852 0.02814 0.0276  0.02746 0.02731 0.02701 0.0267  0.02686 0.02603 0.02603 0.02549 0.02567 0.02549 0.02491 0.02491 0.0243  0.0243  0.02409 0.02409 0.02387 0.02319 0.02319 0.02295 0.02271 0.02271 0.02271 0.02246 0.02168 0.02168 0.02168 0.02141 0.02141 0.02141 0.02113 0.02113]
 correct_O,[0.24  0.18  0.208 0.196 0.204 0.212 0.22  0.224 0.22  0.228 0.224 0.208 0.2   0.212 0.212 0.208 0.216 0.2   0.216 0.22  0.2   0.192 0.196 0.192 0.2   0.208 0.2   0.204 0.204 0.196 0.192 0.188 0.184 0.184 0.188 0.184 0.188 0.188 0.184 0.196 0.188 0.18  0.184 0.176 0.184 0.184 0.188 0.184 0.188 0.188 0.188 0.196 0.196 0.192 0.188 0.188 0.188 0.188 0.188 0.18 ],[0.02701 0.0243  0.02567 0.02511 0.02549 0.02585 0.0262  0.02637 0.0262  0.02653 0.02637 0.02567 0.0253  0.02585 0.02585 0.02567 0.02603 0.0253  0.02603 0.0262  0.0253  0.02491 0.02511 0.02491 0.0253  0.02567 0.0253  0.02549 0.02549 0.02511 0.02491 0.02471 0.02451 0.02451 0.02471 0.02451 0.02471 0.02471 0.02451 0.02511 0.02471 0.0243  0.02451 0.02409 0.02451 0.02451 0.02471 0.02451 0.02471 0.02471 0.02471 0.02511 0.02511 0.02491 0.02471 0.02471 0.02471 0.02471 0.02471 0.0243 ]
 correct_P,[0.112 0.2   0.212 0.212 0.252 0.244 0.264 0.276 0.268 0.272 0.276 0.284 0.284 0.268 0.288 0.308 0.292 0.308 0.304 0.308 0.296 0.3   0.3   0.304 0.308 0.308 0.32  0.304 0.304 0.312 0.312 0.32  0.328 0.324 0.32  0.328 0.328 0.328 0.328 0.34  0.34  0.332 0.336 0.344 0.348 0.34  0.348 0.336 0.34  0.336 0.336 0.352 0.344 0.348 0.348 0.356 0.356 0.356 0.356 0.372],[0.01995 0.0253  0.02585 0.02585 0.02746 0.02716 0.02788 0.02827 0.02801 0.02814 0.02827 0.02852 0.02852 0.02801 0.02864 0.0292  0.02876 0.0292  0.02909 0.0292  0.02887 0.02898 0.02898 0.02909 0.0292  0.0292  0.0295  0.02909 0.02909 0.0293  0.0293  0.0295  0.02969 0.0296  0.0295  0.02969 0.02969 0.02969 0.02969 0.02996 0.02996 0.02978 0.02987 0.03004 0.03013 0.02996 0.03013 0.02987 0.02996 0.02987 0.02987 0.03021 0.03004 0.03013 0.03013 0.03028 0.03028 0.03028 0.03028 0.03057]
 correct_T,[0.208 0.208 0.224 0.248 0.276 0.284 0.288 0.292 0.284 0.288 0.3   0.308 0.292 0.312 0.312 0.312 0.308 0.284 0.284 0.284 0.28  0.28  0.272 0.276 0.272 0.276 0.272 0.268 0.268 0.26  0.248 0.236 0.236 0.236 0.244 0.24  0.244 0.24  0.236 0.232 0.236 0.224 0.224 0.228 0.24  0.244 0.24  0.228 0.228 0.224 0.228 0.228 0.228 0.228 0.232 0.236 0.236 0.24  0.244 0.24 ],[0.02567 0.02567 0.02637 0.02731 0.02827 0.02852 0.02864 0.02876 0.02852 0.02864 0.02898 0.0292  0.02876 0.0293  0.0293  0.0293  0.0292  0.02852 0.02852 0.02852 0.0284  0.0284  0.02814 0.02827 0.02814 0.02827 0.02814 0.02801 0.02801 0.02774 0.02731 0.02686 0.02686 0.02686 0.02716 0.02701 0.02716 0.02701 0.02686 0.0267  0.02686 0.02637 0.02637 0.02653 0.02701 0.02716 0.02701 0.02653 0.02653 0.02637 0.02653 0.02653 0.02653 0.02653 0.0267  0.02686 0.02686 0.02701 0.02716 0.02701]
 p_confidence_C,[0.166 0.148 0.144 0.136 0.152 0.148 0.168 0.172 0.168 0.168 0.168 0.148 0.172 0.148 0.148 0.144 0.14  0.152 0.156 0.168 0.164 0.164 0.172 0.16  0.16  0.16  0.172 0.176 0.168 0.188 0.172 0.164 0.164 0.168 0.176 0.18  0.172 0.172 0.168 0.172 0.18  0.176 0.172 0.172 0.16  0.164 0.148 0.156 0.156 0.152 0.148 0.152 0.148 0.148 0.148 0.148 0.144 0.148 0.148 0.144],[0.0231  0.02246 0.0222  0.02168 0.02271 0.02246 0.02365 0.02387 0.02365 0.02365 0.02365 0.02246 0.02387 0.02246 0.02246 0.0222  0.02195 0.02271 0.02295 0.02365 0.02342 0.02342 0.02387 0.02319 0.02319 0.02319 0.02387 0.02409 0.02365 0.02471 0.02387 0.02342 0.02342 0.02365 0.02409 0.0243  0.02387 0.02387 0.02365 0.02387 0.0243  0.02409 0.02387 0.02387 0.02319 0.02342 0.02246 0.02295 0.02295 0.02271 0.02246 0.02271 0.02246 0.02246 0.02246 0.02246 0.0222  0.02246 0.02246 0.0222 ]
 p_confidence_D,[0.354 0.324 0.332 0.348 0.34  0.384 0.392 0.42  0.424 0.416 0.4   0.416 0.432 0.436 0.452 0.44  0.484 0.476 0.484 0.512 0.508 0.52  0.532 0.536 0.552 0.56  0.556 0.556 0.58  0.572 0.58  0.58  0.58  0.588 0.608 0.62  0.636 0.636 0.656 0.652 0.656 0.656 0.66  0.668 0.672 0.664 0.664 0.66  0.664 0.68  0.684 0.692 0.692 0.696 0.704 0.7   0.692 0.7   0.704 0.708],[0.02991 0.0296  0.02978 0.03013 0.02996 0.03076 0.03088 0.03122 0.03126 0.03117 0.03098 0.03117 0.03133 0.03136 0.03148 0.03139 0.03161 0.03159 0.03161 0.03161 0.03162 0.0316  0.03156 0.03154 0.03145 0.03139 0.03142 0.03142 0.03122 0.03129 0.03122 0.03122 0.03122 0.03113 0.03088 0.0307  0.03043 0.03043 0.03004 0.03013 0.03004 0.03004 0.02996 0.02978 0.02969 0.02987 0.02987 0.02996 0.02987 0.0295  0.0294  0.0292  0.0292  0.02909 0.02887 0.02898 0.0292  0.02898 0.02887 0.02876]
 p_confidence_L,[0.18  0.284 0.348 0.348 0.4   0.388 0.42  0.456 0.504 0.508 0.524 0.532 0.548 0.556 0.576 0.584 0.596 0.592 0.624 0.636 0.648 0.668 0.684 0.696 0.696 0.716 0.728 0.744 0.748 0.752 0.76  0.768 0.764 0.784 0.784 0.796 0.792 0.796 0.808 0.808 0.82  0.82  0.824 0.824 0.828 0.84  0.84  0.844 0.848 0.848 0.848 0.852 0.864 0.864 0.864 0.868 0.868 0.868 0.872 0.872],[0.0243  0.02852 0.03013 0.03013 0.03098 0.03082 0.03122 0.0315  0.03162 0.03162 0.03159 0.03156 0.03148 0.03142 0.03126 0.03117 0.03103 0.03108 0.03063 0.03043 0.03021 0.02978 0.0294  0.02909 0.02909 0.02852 0.02814 0.0276  0.02746 0.02731 0.02701 0.0267  0.02686 0.02603 0.02603 0.02549 0.02567 0.02549 0.02491 0.02491 0.0243  0.0243  0.02409 0.02409 0.02387 0.02319 0.02319 0.02295 0.02271 0.02271 0.02271 0.02246 0.02168 0.02168 0.02168 0.02141 0.02141 0.02141 0.02113 0.02113]
 p_confidence_O,[0.24  0.18  0.208 0.196 0.204 0.212 0.22  0.224 0.22  0.228 0.224 0.208 0.2   0.212 0.212 0.208 0.216 0.2   0.216 0.22  0.2   0.192 0.196 0.192 0.2   0.208 0.2   0.204 0.204 0.196 0.192 0.188 0.184 0.184 0.188 0.184 0.188 0.188 0.184 0.196 0.188 0.18  0.184 0.176 0.184 0.184 0.188 0.184 0.188 0.188 0.188 0.196 0.196 0.192 0.188 0.188 0.188 0.188 0.188 0.18 ],[0.02701 0.0243  0.02567 0.02511 0.02549 0.02585 0.0262  0.02637 0.0262  0.02653 0.02637 0.02567 0.0253  0.02585 0.02585 0.02567 0.02603 0.0253  0.02603 0.0262  0.0253  0.02491 0.02511 0.02491 0.0253  0.02567 0.0253  0.02549 0.02549 0.02511 0.02491 0.02471 0.02451 0.02451 0.02471 0.02451 0.02471 0.02471 0.02451 0.02511 0.02471 0.0243  0.02451 0.02409 0.02451 0.02451 0.02471 0.02451 0.02471 0.02471 0.02471 0.02511 0.02511 0.02491 0.02471 0.02471 0.02471 0.02471 0.02471 0.0243 ]
