key,average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 correct_C,0.348,0.444,0.488,0.596,0.668,0.824,0.84,0.892,0.904,0.964,0.992,0.968,0.968,0.992,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 correct_D,0.416,0.484,0.576,0.608,0.656,0.768,0.852,0.908,0.944,0.984,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996
 correct_L,0.42,0.452,0.572,0.612,0.736,0.812,0.876,0.888,0.924,0.952,0.96,0.992,0.992,0.992,0.992,0.992,0.992,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 correct_O,0.3,0.368,0.496,0.556,0.592,0.688,0.732,0.8,0.932,0.976,0.992,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 correct_P,0.38,0.496,0.532,0.604,0.652,0.688,0.732,0.828,0.94,0.976,0.988,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 correct_T,0.28,0.316,0.452,0.452,0.612,0.648,0.796,0.852,0.892,0.96,0.972,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
 p_confidence_C,0.088,0.16431,0.24637,0.34726,0.45459,0.59047,0.67359,0.75868,0.81043,0.88741,0.93303,0.9398,0.94714,0.97201,0.985,0.99074,0.99692,0.99865,0.999,0.99917,0.9993,0.9994,0.99949,0.99957,0.99963,0.99968,0.99973,0.99977,0.9998,0.99983,0.99985,0.99988,0.99989,0.99991,0.99992,0.99993,0.99994,0.99995,0.99996,0.99996
 p_confidence_D,0.10435,0.20183,0.32669,0.42509,0.52063,0.62691,0.72209,0.79958,0.86256,0.92565,0.95839,0.97183,0.97517,0.98158,0.98515,0.9865,0.98762,0.98877,0.98976,0.99047,0.99093,0.99128,0.99158,0.99185,0.99209,0.99231,0.99251,0.9927,0.99287,0.99303,0.99319,0.99333,0.99347,0.9936,0.99372,0.99383,0.99395,0.99405,0.99415,0.99424
 p_confidence_L,0.1053,0.18621,0.30682,0.40357,0.53895,0.66549,0.75032,0.80121,0.85965,0.90585,0.92795,0.96365,0.97287,0.97526,0.97641,0.97733,0.97811,0.98224,0.98298,0.98367,0.98431,0.98492,0.98549,0.98604,0.98656,0.98706,0.98754,0.988,0.98845,0.98888,0.98929,0.98969,0.99007,0.99044,0.9908,0.99114,0.99147,0.99179,0.9921,0.9924
 p_confidence_O,0.07463,0.13877,0.25422,0.35718,0.45008,0.5621,0.63332,0.71804,0.84,0.9067,0.95253,0.97879,0.99051,0.99618,0.99813,0.99887,0.99916,0.99932,0.99945,0.99955,0.99963,0.99969,0.99975,0.99979,0.99983,0.99986,0.99988,0.9999,0.99992,0.99993,0.99994,0.99995,0.99996,0.99997,0.99997,0.99998,0.99998,0.99998,0.99999,0.99999
 p_confidence_P,0.09919,0.20531,0.30747,0.41582,0.50256,0.5802,0.64274,0.73289,0.83053,0.8895,0.9321,0.95735,0.96802,0.9778,0.98314,0.98489,0.98564,0.98614,0.98658,0.98699,0.98739,0.98777,0.98814,0.9885,0.98884,0.98917,0.98949,0.98981,0.99011,0.9904,0.99069,0.99096,0.99123,0.99149,0.99174,0.99198,0.99222,0.99245,0.99267,0.99288
 p_confidence_T,0.07727,0.14468,0.24927,0.31499,0.43336,0.51769,0.65034,0.73105,0.7934,0.86906,0.9052,0.94928,0.97281,0.99058,0.99576,0.99718,0.99808,0.99844,0.99867,0.99886,0.99902,0.99916,0.99928,0.99938,0.99947,0.99954,0.99961,0.99966,0.99971,0.99975,0.99979,0.99982,0.99984,0.99986,0.99988,0.9999,0.99991,0.99993,0.99994,0.99994
,std_err,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 correct_C,0.03013,0.03142,0.03161,0.03103,0.02978,0.02409,0.02319,0.01963,0.01863,0.01178,0.00563,0.01113,0.01113,0.00563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 correct_D,0.03117,0.03161,0.03126,0.03088,0.03004,0.0267,0.02246,0.01828,0.01454,0.00794,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399,0.00399
 correct_L,0.03122,0.03148,0.03129,0.03082,0.02788,0.02471,0.02084,0.01995,0.01676,0.01352,0.01239,0.00563,0.00563,0.00563,0.00563,0.00563,0.00563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 correct_O,0.02898,0.0305,0.03162,0.03142,0.03108,0.0293,0.02801,0.0253,0.01592,0.00968,0.00563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 correct_P,0.0307,0.03162,0.03156,0.03093,0.03013,0.0293,0.02801,0.02387,0.01502,0.00968,0.00689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 correct_T,0.0284,0.0294,0.03148,0.03148,0.03082,0.03021,0.02549,0.02246,0.01963,0.01239,0.01043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 p_confidence_C,7.83E-03,1.30E-02,1.78E-02,2.09E-02,2.29E-02,2.11E-02,2.14E-02,1.95E-02,1.91E-02,1.35E-02,9.06E-03,1.15E-02,1.15E-02,7.04E-03,3.51E-03,2.20E-03,7.65E-04,5.12E-04,4.37E-04,3.75E-04,3.22E-04,2.76E-04,2.37E-04,2.03E-04,1.74E-04,1.49E-04,1.28E-04,1.10E-04,9.39E-05,8.05E-05,6.91E-05,5.92E-05,5.08E-05,4.36E-05,3.73E-05,3.21E-05,2.75E-05,2.36E-05,2.02E-05,1.74E-05
 p_confidence_D,0.00807,0.01455,0.02033,0.02397,0.02583,0.02475,0.0221,0.01935,0.01611,0.01041,0.00682,0.00531,0.00497,0.00459,0.00448,0.00446,0.00442,0.00435,0.00429,0.00426,0.00423,0.00421,0.00419,0.00417,0.00415,0.00414,0.00412,0.00411,0.0041,0.00409,0.00408,0.00407,0.00406,0.00406,0.00405,0.00404,0.00404,0.00403,0.00403,0.00403
 p_confidence_L,0.00813,0.01445,0.01928,0.02304,0.02347,0.02307,0.02152,0.02042,0.01742,0.01451,0.01323,0.00738,0.00696,0.00685,0.00674,0.00665,0.00657,0.0046,0.00445,0.00432,0.00418,0.00406,0.00393,0.00381,0.0037,0.00359,0.00348,0.00337,0.00327,0.00317,0.00307,0.00298,0.00288,0.0028,0.00271,0.00262,0.00254,0.00246,0.00238,0.00231
 p_confidence_O,7.32E-03,1.22E-02,1.79E-02,2.23E-02,2.53E-02,2.61E-02,2.61E-02,2.42E-02,1.67E-02,1.21E-02,7.94E-03,3.82E-03,2.01E-03,1.08E-03,7.37E-04,5.37E-04,4.40E-04,3.65E-04,3.02E-04,2.50E-04,2.06E-04,1.71E-04,1.41E-04,1.17E-04,9.69E-05,8.03E-05,6.65E-05,5.52E-05,4.58E-05,3.81E-05,3.16E-05,2.63E-05,2.19E-05,1.82E-05,1.52E-05,1.27E-05,1.06E-05,8.82E-06,7.35E-06,6.11E-06
 p_confidence_P,0.00821,0.01419,0.01981,0.02298,0.02477,0.02588,0.0259,0.02297,0.01677,0.01312,0.01016,0.00694,0.006,0.00543,0.00516,0.00504,0.00492,0.0048,0.00468,0.00457,0.00445,0.00434,0.00424,0.00413,0.00403,0.00393,0.00383,0.00374,0.00364,0.00355,0.00346,0.00337,0.00329,0.0032,0.00312,0.00304,0.00296,0.00288,0.00281,0.00273
 p_confidence_T,8.15E-03,1.51E-02,1.96E-02,2.34E-02,2.47E-02,2.60E-02,2.32E-02,2.18E-02,2.00E-02,1.48E-02,1.31E-02,6.75E-03,4.03E-03,2.02E-03,1.28E-03,9.78E-04,7.88E-04,6.80E-04,5.87E-04,5.06E-04,4.36E-04,3.76E-04,3.24E-04,2.79E-04,2.40E-04,2.06E-04,1.77E-04,1.53E-04,1.31E-04,1.13E-04,9.70E-05,8.35E-05,7.17E-05,6.17E-05,5.30E-05,4.55E-05,3.92E-05,3.37E-05,2.89E-05,2.49E-05
