key,average,std_err
 correct_C,[0.176 0.224 0.24  0.256 0.292 0.316 0.332 0.356 0.368 0.42  0.428 0.452 0.572 0.596 0.696 0.712 0.772 0.776 0.788 0.816],[0.02409 0.02637 0.02701 0.0276  0.02876 0.0294  0.02978 0.03028 0.0305  0.03122 0.03129 0.03148 0.03129 0.03103 0.02909 0.02864 0.02653 0.02637 0.02585 0.02451]
 correct_D,[0.196 0.244 0.316 0.312 0.38  0.404 0.424 0.464 0.504 0.504 0.556 0.568 0.624 0.624 0.72  0.728 0.752 0.764 0.772 0.784],[0.02511 0.02716 0.0294  0.0293  0.0307  0.03103 0.03126 0.03154 0.03162 0.03162 0.03142 0.03133 0.03063 0.03063 0.0284  0.02814 0.02731 0.02686 0.02653 0.02603]
 correct_L,[0.244 0.272 0.336 0.34  0.384 0.452 0.496 0.504 0.588 0.6   0.732 0.748 0.788 0.804 0.82  0.836 0.844 0.852 0.884 0.904],[0.02716 0.02814 0.02987 0.02996 0.03076 0.03148 0.03162 0.03162 0.03113 0.03098 0.02801 0.02746 0.02585 0.02511 0.0243  0.02342 0.02295 0.02246 0.02025 0.01863]
 correct_O,[0.236 0.256 0.272 0.296 0.356 0.368 0.396 0.44  0.5   0.516 0.544 0.56  0.596 0.64  0.712 0.748 0.752 0.768 0.788 0.82 ],[0.02686 0.0276  0.02814 0.02887 0.03028 0.0305  0.03093 0.03139 0.03162 0.03161 0.0315  0.03139 0.03103 0.03036 0.02864 0.02746 0.02731 0.0267  0.02585 0.0243 ]
 correct_P,[0.116 0.124 0.188 0.204 0.26  0.3   0.344 0.424 0.464 0.484 0.532 0.576 0.612 0.612 0.672 0.768 0.78  0.788 0.84  0.852],[0.02025 0.02084 0.02471 0.02549 0.02774 0.02898 0.03004 0.03126 0.03154 0.03161 0.03156 0.03126 0.03082 0.03082 0.02969 0.0267  0.0262  0.02585 0.02319 0.02246]
 correct_T,[0.184 0.184 0.204 0.276 0.284 0.336 0.36  0.384 0.44  0.5   0.5   0.628 0.668 0.704 0.736 0.748 0.764 0.8   0.82  0.82 ],[0.02451 0.02451 0.02549 0.02827 0.02852 0.02987 0.03036 0.03076 0.03139 0.03162 0.03162 0.03057 0.02978 0.02887 0.02788 0.02746 0.02686 0.0253  0.0243  0.0243 ]
 p_confidence_C,[0.17  0.224 0.24  0.256 0.292 0.316 0.332 0.356 0.368 0.42  0.428 0.452 0.572 0.596 0.696 0.712 0.772 0.776 0.788 0.816],[0.0235  0.02637 0.02701 0.0276  0.02876 0.0294  0.02978 0.03028 0.0305  0.03122 0.03129 0.03148 0.03129 0.03103 0.02909 0.02864 0.02653 0.02637 0.02585 0.02451]
 p_confidence_D,[0.192 0.244 0.316 0.312 0.38  0.404 0.424 0.464 0.504 0.504 0.556 0.568 0.624 0.624 0.72  0.728 0.752 0.764 0.772 0.784],[0.02475 0.02716 0.0294  0.0293  0.0307  0.03103 0.03126 0.03154 0.03162 0.03162 0.03142 0.03133 0.03063 0.03063 0.0284  0.02814 0.02731 0.02686 0.02653 0.02603]
 p_confidence_L,[0.244 0.272 0.336 0.34  0.384 0.452 0.496 0.504 0.588 0.6   0.732 0.748 0.788 0.804 0.82  0.836 0.844 0.852 0.884 0.904],[0.02716 0.02814 0.02987 0.02996 0.03076 0.03148 0.03162 0.03162 0.03113 0.03098 0.02801 0.02746 0.02585 0.02511 0.0243  0.02342 0.02295 0.02246 0.02025 0.01863]
 p_confidence_O,[0.23333 0.256   0.272   0.296   0.356   0.368   0.396   0.44    0.5     0.516   0.544   0.56    0.596   0.64    0.712   0.748   0.752   0.768   0.788   0.82   ],[0.02668 0.0276  0.02814 0.02887 0.03028 0.0305  0.03093 0.03139 0.03162 0.03161 0.0315  0.03139 0.03103 0.03036 0.02864 0.02746 0.02731 0.0267  0.02585 0.0243 ]
 p_confidence_P,[0.11067 0.124   0.188   0.204   0.26    0.3     0.344   0.424   0.464   0.484   0.532   0.576   0.612   0.612   0.672   0.768   0.78    0.788   0.84    0.852  ],[0.01966 0.02084 0.02471 0.02549 0.02774 0.02898 0.03004 0.03126 0.03154 0.03161 0.03156 0.03126 0.03082 0.03082 0.02969 0.0267  0.0262  0.02585 0.02319 0.02246]
 p_confidence_T,[0.182 0.184 0.204 0.276 0.284 0.336 0.36  0.384 0.44  0.5   0.5   0.628 0.668 0.704 0.736 0.748 0.764 0.8   0.82  0.82 ],[0.02432 0.02451 0.02549 0.02827 0.02852 0.02987 0.03036 0.03076 0.03139 0.03162 0.03162 0.03057 0.02978 0.02887 0.02788 0.02746 0.02686 0.0253  0.0243  0.0243 ]
